"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Verify that user cannot login with invalid credentials","6635","testLoginWithCredsOfDifferentAccounts","Automation Exercise","2026-07-20","passed","2026-07-20","io.github.matveyvolodin.tests.SignupLoginPageTest","UI Tests","io.github.matveyvolodin.tests.SignupLoginPageTest","testLoginWithInvalidCredentials"
"Verify POST /verifyLogin endpoint responses for different input scenarios","180","testVerifyLogin","Automation Exercise","2026-07-20","passed","2026-07-20","io.github.matveyvolodin.api.tests.AccountApiTest","API Tests","io.github.matveyvolodin.api.tests.AccountApiTest","testVerifyLogin"
"Verify GET /getUserDetailByEmail endpoint responses for different input scenarios","107","testGetUserWithoutEmail","Automation Exercise","2026-07-20","passed","2026-07-20","io.github.matveyvolodin.api.tests.AccountApiTest","API Tests","io.github.matveyvolodin.api.tests.AccountApiTest","testGetUser"
"Verify search product results for different product name inputs","7007","testSearchProductPartlyMatching","Automation Exercise","2026-07-20","passed","2026-07-20","io.github.matveyvolodin.tests.ProductsPageTest","UI Tests","io.github.matveyvolodin.tests.ProductsPageTest","testSearchProduct"
"Verify POST /createAccount endpoint responses for different input scenarios","111","testCreateAccountWithExistingEmail","Automation Exercise","2026-07-20","passed","2026-07-20","io.github.matveyvolodin.api.tests.AccountApiTest","API Tests","io.github.matveyvolodin.api.tests.AccountApiTest","testCreateAccount"
"Verify that POST method is not allowed for PUT /updateAccount endpoint","174","testUpdateAccountUnsupportedMethod","Automation Exercise","2026-07-20","passed","2026-07-20","io.github.matveyvolodin.api.tests.AccountApiTest","API Tests","io.github.matveyvolodin.api.tests.AccountApiTest","testUpdateAccountUnsupportedMethod"
"Verify GET /getUserDetailByEmail endpoint responses for different input scenarios","109","testGetUserWithWrongEmail","Automation Exercise","2026-07-20","passed","2026-07-20","io.github.matveyvolodin.api.tests.AccountApiTest","API Tests","io.github.matveyvolodin.api.tests.AccountApiTest","testGetUser"
"Verify that the user cannot log in with a deleted account","7036","testLoginWithDeletedAccount","Automation Exercise","2026-07-20","passed","2026-07-20","io.github.matveyvolodin.tests.SignupLoginPageTest","UI Tests","io.github.matveyvolodin.tests.SignupLoginPageTest","testLoginWithDeletedAccount"
"Verify that user can log out using the Logout button in the header menu","23159","testUserLogOut","Automation Exercise","2026-07-20","passed","2026-07-20","io.github.matveyvolodin.tests.components.HeaderMenuComponentTest","UI Tests","io.github.matveyvolodin.tests.components.HeaderMenuComponentTest","testUserLogOut"
"Verify that POST method is not allowed for DELETE /deleteAccount endpoint","293","testDeleteAccountUnsupportedMethod","Automation Exercise","2026-07-20","passed","2026-07-20","io.github.matveyvolodin.api.tests.AccountApiTest","API Tests","io.github.matveyvolodin.api.tests.AccountApiTest","testDeleteAccountUnsupportedMethod"
"Verify DELETE /deleteAccount endpoint responses for different input scenarios","105","testDeleteAccountWithWrongCredentials","Automation Exercise","2026-07-20","passed","2026-07-20","io.github.matveyvolodin.api.tests.AccountApiTest","API Tests","io.github.matveyvolodin.api.tests.AccountApiTest","testDeleteAccount"
"Verify that user cannot login with invalid credentials","6648","testLoginWithWrongPassvord","Automation Exercise","2026-07-20","passed","2026-07-20","io.github.matveyvolodin.tests.SignupLoginPageTest","UI Tests","io.github.matveyvolodin.tests.SignupLoginPageTest","testLoginWithInvalidCredentials"
"Verify that account was deleted successfully","17596","testDeleteUserAccount","Automation Exercise","2026-07-20","passed","2026-07-20","io.github.matveyvolodin.tests.components.HeaderMenuComponentTest","UI Tests","io.github.matveyvolodin.tests.components.HeaderMenuComponentTest","testDeleteUserAccount"
"Verify that user can login with valid credentials","13465","testLoginWithValidCredentials","Automation Exercise","2026-07-20","passed","2026-07-20","io.github.matveyvolodin.tests.SignupLoginPageTest","UI Tests","io.github.matveyvolodin.tests.SignupLoginPageTest","testLoginWithValidCredentials"
"Verify DELETE /deleteAccount endpoint responses for different input scenarios","104","testDeleteAccountWithoutEmail","Automation Exercise","2026-07-20","passed","2026-07-20","io.github.matveyvolodin.api.tests.AccountApiTest","API Tests","io.github.matveyvolodin.api.tests.AccountApiTest","testDeleteAccount"
"Verify GET /getUserDetailByEmail endpoint responses for different input scenarios","114","testGetUser","Automation Exercise","2026-07-20","passed","2026-07-20","io.github.matveyvolodin.api.tests.AccountApiTest","API Tests","io.github.matveyvolodin.api.tests.AccountApiTest","testGetUser"
"Verify POST /createAccount endpoint responses for different input scenarios","265","testCreateAccount","Automation Exercise","2026-07-20","passed","2026-07-20","io.github.matveyvolodin.api.tests.AccountApiTest","API Tests","io.github.matveyvolodin.api.tests.AccountApiTest","testCreateAccount"
