"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Verify that user account was created successfully and user was redirected to the main page","31976","testCreateUserAccount","Surefire suite","2026-05-29","passed","2026-05-29","io.github.matveyvolodin.tests.SignupPageTest","Surefire test","io.github.matveyvolodin.tests.SignupPageTest","testCreateUserAccount"
"Verify that user can login with valid credentials","17649","testLoginWithValidCredentials","Surefire suite","2026-05-29","passed","2026-05-29","io.github.matveyvolodin.tests.SignupLoginPageTest","Surefire test","io.github.matveyvolodin.tests.SignupLoginPageTest","testLoginWithValidCredentials"
"Verify that placeholders are presented on the Signup/Login and Signup pages","10813","testPlaceholders","Surefire suite","2026-05-29","passed","2026-05-29","io.github.matveyvolodin.tests.SignupLoginPageTest","Surefire test","io.github.matveyvolodin.tests.SignupLoginPageTest","testPlaceholders"
"Verify that user cannot login with invalid credentials","11629","testLoginWithInvalidCredentials","Surefire suite","2026-05-29","passed","2026-05-29","io.github.matveyvolodin.tests.SignupLoginPageTest","Surefire test","io.github.matveyvolodin.tests.SignupLoginPageTest","testLoginWithInvalidCredentials"
"Verify that an existing user can be deleted successfully via the API","377","testDeleteAccount","Surefire suite","2026-05-29","passed","2026-05-29","io.github.matveyvolodin.api.tests.AccountApiTest","Surefire test","io.github.matveyvolodin.api.tests.AccountApiTest","testDeleteAccount"
"Verify that account was deleted successfully","28760","testDeleteUserAccount","Surefire suite","2026-05-29","passed","2026-05-29","io.github.matveyvolodin.tests.SignupPageTest","Surefire test","io.github.matveyvolodin.tests.SignupPageTest","testDeleteUserAccount"
"Verify that user cannot login with invalid credentials","11808","testLoginWithInvalidCredentials","Surefire suite","2026-05-29","passed","2026-05-29","io.github.matveyvolodin.tests.SignupLoginPageTest","Surefire test","io.github.matveyvolodin.tests.SignupLoginPageTest","testLoginWithInvalidCredentials"
"Verify that a new user can be created successfully via the API","3389","testCreateAccount","Surefire suite","2026-05-29","passed","2026-05-29","io.github.matveyvolodin.api.tests.AccountApiTest","Surefire test","io.github.matveyvolodin.api.tests.AccountApiTest","testCreateAccount"
"Verify that the user cannot register with already registered email","16766","testRegisterWithAlreadyRegisteredEmail","Surefire suite","2026-05-29","passed","2026-05-29","io.github.matveyvolodin.tests.SignupLoginPageTest","Surefire test","io.github.matveyvolodin.tests.SignupLoginPageTest","testRegisterWithAlreadyRegisteredEmail"
"Verify that user cannot login with invalid credentials","11656","testLoginWithInvalidCredentials","Surefire suite","2026-05-29","passed","2026-05-29","io.github.matveyvolodin.tests.SignupLoginPageTest","Surefire test","io.github.matveyvolodin.tests.SignupLoginPageTest","testLoginWithInvalidCredentials"
"Verify that the user cannot log in with a deleted account","12209","testLoginWithDeletedAccount","Surefire suite","2026-05-29","passed","2026-05-29","io.github.matveyvolodin.tests.SignupLoginPageTest","Surefire test","io.github.matveyvolodin.tests.SignupLoginPageTest","testLoginWithDeletedAccount"
