"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Verify POST /createAccount endpoint responses for different input scenarios","347","testCreateAccountWithoutPassword","Surefire suite","2026-06-30","passed","2026-06-30","io.github.matveyvolodin.api.tests.AccountApiTest","Surefire test","io.github.matveyvolodin.api.tests.AccountApiTest","testCreateAccount"
"Verify that user cannot login with invalid credentials","6705","testLoginWithInvalidCredentials","Surefire suite","2026-06-30","passed","2026-06-30","io.github.matveyvolodin.tests.SignupLoginPageTest","Surefire test","io.github.matveyvolodin.tests.SignupLoginPageTest","testLoginWithInvalidCredentials"
"Verify that POST method is not allowed for PUT /updateAccount endpoint","121","testUpdateAccountUnsupportedMethod","Surefire suite","2026-06-30","passed","2026-06-30","io.github.matveyvolodin.api.tests.AccountApiTest","Surefire test","io.github.matveyvolodin.api.tests.AccountApiTest","testUpdateAccountUnsupportedMethod"
"Verify DELETE /deleteAccount endpoint responses for different input scenarios","140","testDeleteAccountWithoutPassword","Surefire suite","2026-06-30","passed","2026-06-30","io.github.matveyvolodin.api.tests.AccountApiTest","Surefire test","io.github.matveyvolodin.api.tests.AccountApiTest","testDeleteAccount"
"Verify DELETE /deleteAccount endpoint responses for different input scenarios","305","testDeleteAccountWithWrongCredentials","Surefire suite","2026-06-30","passed","2026-06-30","io.github.matveyvolodin.api.tests.AccountApiTest","Surefire test","io.github.matveyvolodin.api.tests.AccountApiTest","testDeleteAccount"
"Verify DELETE /deleteAccount endpoint responses for different input scenarios","352","testDeleteAccount","Surefire suite","2026-06-30","passed","2026-06-30","io.github.matveyvolodin.api.tests.AccountApiTest","Surefire test","io.github.matveyvolodin.api.tests.AccountApiTest","testDeleteAccount"
"Verify that user account was created successfully and user was redirected to the main page","18643","testCreateUserAccount","Surefire suite","2026-06-30","passed","2026-06-30","io.github.matveyvolodin.tests.SignupPageTest","Surefire test","io.github.matveyvolodin.tests.SignupPageTest","testCreateUserAccount"
"Verify PUT /updateAccount endpoint responses for different input scenarios","124","testUpdateAccountWithoutPassword","Surefire suite","2026-06-30","passed","2026-06-30","io.github.matveyvolodin.api.tests.AccountApiTest","Surefire test","io.github.matveyvolodin.api.tests.AccountApiTest","testUpdateAccount"
"Verify that the user cannot log in with a deleted account","7362","testLoginWithDeletedAccount","Surefire suite","2026-06-30","passed","2026-06-30","io.github.matveyvolodin.tests.SignupLoginPageTest","Surefire test","io.github.matveyvolodin.tests.SignupLoginPageTest","testLoginWithDeletedAccount"
"Verify PUT /updateAccount endpoint responses for different input scenarios","157","testUpdateAccountWithWrongCredentials","Surefire suite","2026-06-30","passed","2026-06-30","io.github.matveyvolodin.api.tests.AccountApiTest","Surefire test","io.github.matveyvolodin.api.tests.AccountApiTest","testUpdateAccount"
