"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Verify that user cannot login with invalid credentials","1524","testLoginWithInvalidCredentials","Surefire suite","Fri May 22 07:10:52 UTC 2026","passed","Fri May 22 07:10:53 UTC 2026","io.github.matveyvolodin.tests.SignupLoginPageTest","Surefire test","io.github.matveyvolodin.tests.SignupLoginPageTest","testLoginWithInvalidCredentials"
"Verify that an existing user can be deleted successfully via the API","350","testDeleteAccount","Surefire suite","Fri May 22 07:10:35 UTC 2026","passed","Fri May 22 07:10:35 UTC 2026","io.github.matveyvolodin.api.tests.AccountApiTest","Surefire test","io.github.matveyvolodin.api.tests.AccountApiTest","testDeleteAccount"
"Verify that user cannot login with invalid credentials","1392","testLoginWithInvalidCredentials","Surefire suite","Fri May 22 07:10:48 UTC 2026","passed","Fri May 22 07:10:50 UTC 2026","io.github.matveyvolodin.tests.SignupLoginPageTest","Surefire test","io.github.matveyvolodin.tests.SignupLoginPageTest","testLoginWithInvalidCredentials"
"Verify that account was deleted successfully","4967","testDeleteUserAccount","Surefire suite","Fri May 22 07:11:09 UTC 2026","passed","Fri May 22 07:11:14 UTC 2026","io.github.matveyvolodin.tests.SignupPageTest","Surefire test","io.github.matveyvolodin.tests.SignupPageTest","testDeleteUserAccount"
"Verify that a new user can be created successfully via the API","2677","testCreateAccount","Surefire suite","Fri May 22 07:10:32 UTC 2026","passed","Fri May 22 07:10:35 UTC 2026","io.github.matveyvolodin.api.tests.AccountApiTest","Surefire test","io.github.matveyvolodin.api.tests.AccountApiTest","testCreateAccount"
"Verify that placeholders are presented on the Signup/Login and Signup pages","1764","testPlaceholders","Surefire suite","Fri May 22 07:10:55 UTC 2026","passed","Fri May 22 07:10:57 UTC 2026","io.github.matveyvolodin.tests.SignupLoginPageTest","Surefire test","io.github.matveyvolodin.tests.SignupLoginPageTest","testPlaceholders"
"Verify that user cannot login with invalid credentials","1670","testLoginWithInvalidCredentials","Surefire suite","Fri May 22 07:10:45 UTC 2026","passed","Fri May 22 07:10:47 UTC 2026","io.github.matveyvolodin.tests.SignupLoginPageTest","Surefire test","io.github.matveyvolodin.tests.SignupLoginPageTest","testLoginWithInvalidCredentials"
"Verify that user account was created successfully and user was redirected to the main page","7428","testCreateUserAccount","Surefire suite","Fri May 22 07:11:00 UTC 2026","passed","Fri May 22 07:11:07 UTC 2026","io.github.matveyvolodin.tests.SignupPageTest","Surefire test","io.github.matveyvolodin.tests.SignupPageTest","testCreateUserAccount"
