"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Verify that POST method is not allowed for DELETE /deleteAccount endpoint","295","testDeleteAccountUnsupportedMethod","Surefire suite","2026-06-30","passed","2026-06-30","io.github.matveyvolodin.api.tests.AccountApiTest","Surefire test","io.github.matveyvolodin.api.tests.AccountApiTest","testDeleteAccountUnsupportedMethod"
"Verify that user account was created successfully and user was redirected to the main page","17357","testCreateUserAccount","Surefire suite","2026-06-30","passed","2026-06-30","io.github.matveyvolodin.tests.SignupPageTest","Surefire test","io.github.matveyvolodin.tests.SignupPageTest","testCreateUserAccount"
"Verify that account was deleted successfully","17341","testDeleteUserAccount","Surefire suite","2026-06-30","passed","2026-06-30","io.github.matveyvolodin.tests.components.HeaderMenuComponentTest","Surefire test","io.github.matveyvolodin.tests.components.HeaderMenuComponentTest","testDeleteUserAccount"
"Verify that user cannot login with invalid credentials","6645","testLoginWithInvalidCredentials","Surefire suite","2026-06-30","passed","2026-06-30","io.github.matveyvolodin.tests.SignupLoginPageTest","Surefire test","io.github.matveyvolodin.tests.SignupLoginPageTest","testLoginWithInvalidCredentials"
"Verify POST /createAccount endpoint responses for different input scenarios","344","testCreateAccount","Surefire suite","2026-06-30","passed","2026-06-30","io.github.matveyvolodin.api.tests.AccountApiTest","Surefire test","io.github.matveyvolodin.api.tests.AccountApiTest","testCreateAccount"
"Verify that PUT method is not allowed for POST /createAccount endpoint","151","testCreateAccountUnsupportedMethod","Surefire suite","2026-06-30","passed","2026-06-30","io.github.matveyvolodin.api.tests.AccountApiTest","Surefire test","io.github.matveyvolodin.api.tests.AccountApiTest","testCreateAccountUnsupportedMethod"
"Verify POST /createAccount endpoint responses for different input scenarios","334","testCreateAccount","Surefire suite","2026-06-30","passed","2026-06-30","io.github.matveyvolodin.api.tests.AccountApiTest","Surefire test","io.github.matveyvolodin.api.tests.AccountApiTest","testCreateAccount"
"Verify POST /createAccount endpoint responses for different input scenarios","382","testCreateAccount","Surefire suite","2026-06-30","passed","2026-06-30","io.github.matveyvolodin.api.tests.AccountApiTest","Surefire test","io.github.matveyvolodin.api.tests.AccountApiTest","testCreateAccount"
"Verify that the user cannot register with already registered email","9741","testRegisterWithAlreadyRegisteredEmail","Surefire suite","2026-06-30","passed","2026-06-30","io.github.matveyvolodin.tests.SignupLoginPageTest","Surefire test","io.github.matveyvolodin.tests.SignupLoginPageTest","testRegisterWithAlreadyRegisteredEmail"
"Verify that user cannot login with invalid credentials","6644","testLoginWithInvalidCredentials","Surefire suite","2026-06-30","passed","2026-06-30","io.github.matveyvolodin.tests.SignupLoginPageTest","Surefire test","io.github.matveyvolodin.tests.SignupLoginPageTest","testLoginWithInvalidCredentials"
"Verify that user can login with valid credentials","14123","testLoginWithValidCredentials","Surefire suite","2026-06-30","passed","2026-06-30","io.github.matveyvolodin.tests.SignupLoginPageTest","Surefire test","io.github.matveyvolodin.tests.SignupLoginPageTest","testLoginWithValidCredentials"
"Verify that the user cannot log in with a deleted account","7295","testLoginWithDeletedAccount","Surefire suite","2026-06-30","passed","2026-06-30","io.github.matveyvolodin.tests.SignupLoginPageTest","Surefire test","io.github.matveyvolodin.tests.SignupLoginPageTest","testLoginWithDeletedAccount"
"Verify that users can subscribe to the newsletter with a valid email address","6303","testSubscribeToNewsletter","Surefire suite","2026-06-30","passed","2026-06-30","io.github.matveyvolodin.tests.components.FooterComponentTest","Surefire test","io.github.matveyvolodin.tests.components.FooterComponentTest","testSubscribeToNewsletter"
"Verify that user cannot login with invalid credentials","6652","testLoginWithInvalidCredentials","Surefire suite","2026-06-30","passed","2026-06-30","io.github.matveyvolodin.tests.SignupLoginPageTest","Surefire test","io.github.matveyvolodin.tests.SignupLoginPageTest","testLoginWithInvalidCredentials"
"Verify that user can log out using the Logout button in the header menu","23806","testUserLogOut","Surefire suite","2026-06-30","passed","2026-06-30","io.github.matveyvolodin.tests.components.HeaderMenuComponentTest","Surefire test","io.github.matveyvolodin.tests.components.HeaderMenuComponentTest","testUserLogOut"
"Verify POST /createAccount endpoint responses for different input scenarios","349","testCreateAccount","Surefire suite","2026-06-30","passed","2026-06-30","io.github.matveyvolodin.api.tests.AccountApiTest","Surefire test","io.github.matveyvolodin.api.tests.AccountApiTest","testCreateAccount"
"Verify DELETE /deleteAccount endpoint responses for different input scenarios","138","testDeleteAccount","Surefire suite","2026-06-30","passed","2026-06-30","io.github.matveyvolodin.api.tests.AccountApiTest","Surefire test","io.github.matveyvolodin.api.tests.AccountApiTest","testDeleteAccount"
"Verify that placeholders are presented on the Signup/Login and Signup pages","6384","testPlaceholders","Surefire suite","2026-06-30","passed","2026-06-30","io.github.matveyvolodin.tests.SignupLoginPageTest","Surefire test","io.github.matveyvolodin.tests.SignupLoginPageTest","testPlaceholders"
"Verify DELETE /deleteAccount endpoint responses for different input scenarios","330","testDeleteAccount","Surefire suite","2026-06-30","passed","2026-06-30","io.github.matveyvolodin.api.tests.AccountApiTest","Surefire test","io.github.matveyvolodin.api.tests.AccountApiTest","testDeleteAccount"
"Verify DELETE /deleteAccount endpoint responses for different input scenarios","338","testDeleteAccount","Surefire suite","2026-06-30","passed","2026-06-30","io.github.matveyvolodin.api.tests.AccountApiTest","Surefire test","io.github.matveyvolodin.api.tests.AccountApiTest","testDeleteAccount"
"Verify DELETE /deleteAccount endpoint responses for different input scenarios","139","testDeleteAccount","Surefire suite","2026-06-30","passed","2026-06-30","io.github.matveyvolodin.api.tests.AccountApiTest","Surefire test","io.github.matveyvolodin.api.tests.AccountApiTest","testDeleteAccount"
"Verify POST /createAccount endpoint responses for different input scenarios","345","testCreateAccount","Surefire suite","2026-06-30","passed","2026-06-30","io.github.matveyvolodin.api.tests.AccountApiTest","Surefire test","io.github.matveyvolodin.api.tests.AccountApiTest","testCreateAccount"
"Verify that header tabs lead to the correct web pages","32100","testHeaderTabsRedirections","Surefire suite","2026-06-30","passed","2026-06-30","io.github.matveyvolodin.tests.components.HeaderMenuComponentTest","Surefire test","io.github.matveyvolodin.tests.components.HeaderMenuComponentTest","testHeaderTabsRedirections"
