"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Verify that the user cannot register with already registered email","48206","testRegisterWithAlreadyRegisteredEmail","Surefire suite","2026-06-16","passed","2026-06-16","io.github.matveyvolodin.tests.SignupLoginPageTest","Surefire test","io.github.matveyvolodin.tests.SignupLoginPageTest","testRegisterWithAlreadyRegisteredEmail"
"Verify that user can login with valid credentials","80353","testLoginWithValidCredentials","Surefire suite","2026-06-16","passed","2026-06-16","io.github.matveyvolodin.tests.SignupLoginPageTest","Surefire test","io.github.matveyvolodin.tests.SignupLoginPageTest","testLoginWithValidCredentials"
"Verify that account was deleted successfully","43699","testDeleteUserAccount","Surefire suite","2026-06-16","passed","2026-06-16","io.github.matveyvolodin.tests.components.HeaderMenuComponentTest","Surefire test","io.github.matveyvolodin.tests.components.HeaderMenuComponentTest","testDeleteUserAccount"
"Verify that user can log out using the Logout button in the header menu","36859","testUserLogOut","Surefire suite","2026-06-16","passed","2026-06-16","io.github.matveyvolodin.tests.components.HeaderMenuComponentTest","Surefire test","io.github.matveyvolodin.tests.components.HeaderMenuComponentTest","testUserLogOut"
"Verify that user cannot login with invalid credentials","18069","testLoginWithInvalidCredentials","Surefire suite","2026-06-16","passed","2026-06-16","io.github.matveyvolodin.tests.SignupLoginPageTest","Surefire test","io.github.matveyvolodin.tests.SignupLoginPageTest","testLoginWithInvalidCredentials"
"Verify that users can subscribe to the newsletter with a valid email address","6316","testSubscribeToNewsletter","Surefire suite","2026-06-16","passed","2026-06-16","io.github.matveyvolodin.tests.components.FooterComponentTest","Surefire test","io.github.matveyvolodin.tests.components.FooterComponentTest","testSubscribeToNewsletter"
"Verify that the user cannot log in with a deleted account","49505","testLoginWithDeletedAccount","Surefire suite","2026-06-16","passed","2026-06-16","io.github.matveyvolodin.tests.SignupLoginPageTest","Surefire test","io.github.matveyvolodin.tests.SignupLoginPageTest","testLoginWithDeletedAccount"
"Verify that an existing user can be deleted successfully via the API","20970","testDeleteAccount","Surefire suite","2026-06-16","passed","2026-06-16","io.github.matveyvolodin.api.tests.AccountApiTest","Surefire test","io.github.matveyvolodin.api.tests.AccountApiTest","testDeleteAccount"
"Verify that placeholders are presented on the Signup/Login and Signup pages","7375","testPlaceholders","Surefire suite","2026-06-16","passed","2026-06-16","io.github.matveyvolodin.tests.SignupLoginPageTest","Surefire test","io.github.matveyvolodin.tests.SignupLoginPageTest","testPlaceholders"
"Verify that user cannot login with invalid credentials","7135","testLoginWithInvalidCredentials","Surefire suite","2026-06-16","passed","2026-06-16","io.github.matveyvolodin.tests.SignupLoginPageTest","Surefire test","io.github.matveyvolodin.tests.SignupLoginPageTest","testLoginWithInvalidCredentials"
"Verify that user cannot login with invalid credentials","66453","testLoginWithInvalidCredentials","Surefire suite","2026-06-16","passed","2026-06-16","io.github.matveyvolodin.tests.SignupLoginPageTest","Surefire test","io.github.matveyvolodin.tests.SignupLoginPageTest","testLoginWithInvalidCredentials"
"Verify that header tabs lead to the correct web pages","140651","testHeaderTabsRedirections","Surefire suite","2026-06-16","passed","2026-06-16","io.github.matveyvolodin.tests.components.HeaderMenuComponentTest","Surefire test","io.github.matveyvolodin.tests.components.HeaderMenuComponentTest","testHeaderTabsRedirections"
"Verify that a new user can be created successfully via the API","9443","testCreateAccount","Surefire suite","2026-06-16","passed","2026-06-16","io.github.matveyvolodin.api.tests.AccountApiTest","Surefire test","io.github.matveyvolodin.api.tests.AccountApiTest","testCreateAccount"
"Verify that user account was created successfully and user was redirected to the main page","81298","testCreateUserAccount","Surefire suite","2026-06-16","passed","2026-06-16","io.github.matveyvolodin.tests.SignupPageTest","Surefire test","io.github.matveyvolodin.tests.SignupPageTest","testCreateUserAccount"
