"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Verify POST /createAccount endpoint responses for different input scenarios","2962","testCreateAccount","Surefire suite","2026-06-26","passed","2026-06-26","io.github.matveyvolodin.api.tests.AccountApiTest","Surefire test","io.github.matveyvolodin.api.tests.AccountApiTest","testCreateAccount"
"Verify that the user cannot log in with a deleted account","7177","testLoginWithDeletedAccount","Surefire suite","2026-06-26","passed","2026-06-26","io.github.matveyvolodin.tests.SignupLoginPageTest","Surefire test","io.github.matveyvolodin.tests.SignupLoginPageTest","testLoginWithDeletedAccount"
"Verify that an existing user can be deleted successfully via the API","157","testDeleteAccount","Surefire suite","2026-06-26","passed","2026-06-26","io.github.matveyvolodin.api.tests.AccountApiTest","Surefire test","io.github.matveyvolodin.api.tests.AccountApiTest","testDeleteAccount"
"Verify that the user cannot register with already registered email","9768","testRegisterWithAlreadyRegisteredEmail","Surefire suite","2026-06-26","passed","2026-06-26","io.github.matveyvolodin.tests.SignupLoginPageTest","Surefire test","io.github.matveyvolodin.tests.SignupLoginPageTest","testRegisterWithAlreadyRegisteredEmail"
"Verify that header tabs lead to the correct web pages","32889","testHeaderTabsRedirections","Surefire suite","2026-06-26","passed","2026-06-26","io.github.matveyvolodin.tests.components.HeaderMenuComponentTest","Surefire test","io.github.matveyvolodin.tests.components.HeaderMenuComponentTest","testHeaderTabsRedirections"
"Verify POST /createAccount endpoint responses for different input scenarios","338","testCreateAccount","Surefire suite","2026-06-26","passed","2026-06-26","io.github.matveyvolodin.api.tests.AccountApiTest","Surefire test","io.github.matveyvolodin.api.tests.AccountApiTest","testCreateAccount"
"Verify POST /createAccount endpoint responses for different input scenarios","321","testCreateAccount","Surefire suite","2026-06-26","passed","2026-06-26","io.github.matveyvolodin.api.tests.AccountApiTest","Surefire test","io.github.matveyvolodin.api.tests.AccountApiTest","testCreateAccount"
"Verify POST /createAccount endpoint responses for different input scenarios","334","testCreateAccount","Surefire suite","2026-06-26","passed","2026-06-26","io.github.matveyvolodin.api.tests.AccountApiTest","Surefire test","io.github.matveyvolodin.api.tests.AccountApiTest","testCreateAccount"
"Verify that users can subscribe to the newsletter with a valid email address","6344","testSubscribeToNewsletter","Surefire suite","2026-06-26","passed","2026-06-26","io.github.matveyvolodin.tests.components.FooterComponentTest","Surefire test","io.github.matveyvolodin.tests.components.FooterComponentTest","testSubscribeToNewsletter"
"Verify that user cannot login with invalid credentials","6661","testLoginWithInvalidCredentials","Surefire suite","2026-06-26","passed","2026-06-26","io.github.matveyvolodin.tests.SignupLoginPageTest","Surefire test","io.github.matveyvolodin.tests.SignupLoginPageTest","testLoginWithInvalidCredentials"
"Verify that user cannot login with invalid credentials","6663","testLoginWithInvalidCredentials","Surefire suite","2026-06-26","passed","2026-06-26","io.github.matveyvolodin.tests.SignupLoginPageTest","Surefire test","io.github.matveyvolodin.tests.SignupLoginPageTest","testLoginWithInvalidCredentials"
"Verify that user can login with valid credentials","12922","testLoginWithValidCredentials","Surefire suite","2026-06-26","passed","2026-06-26","io.github.matveyvolodin.tests.SignupLoginPageTest","Surefire test","io.github.matveyvolodin.tests.SignupLoginPageTest","testLoginWithValidCredentials"
"Verify POST /createAccount endpoint responses for different input scenarios","333","testCreateAccount","Surefire suite","2026-06-26","passed","2026-06-26","io.github.matveyvolodin.api.tests.AccountApiTest","Surefire test","io.github.matveyvolodin.api.tests.AccountApiTest","testCreateAccount"
"Verify that user account was created successfully and user was redirected to the main page","18831","testCreateUserAccount","Surefire suite","2026-06-26","passed","2026-06-26","io.github.matveyvolodin.tests.SignupPageTest","Surefire test","io.github.matveyvolodin.tests.SignupPageTest","testCreateUserAccount"
"Verify that user cannot login with invalid credentials","6678","testLoginWithInvalidCredentials","Surefire suite","2026-06-26","passed","2026-06-26","io.github.matveyvolodin.tests.SignupLoginPageTest","Surefire test","io.github.matveyvolodin.tests.SignupLoginPageTest","testLoginWithInvalidCredentials"
"Verify that account was deleted successfully","16991","testDeleteUserAccount","Surefire suite","2026-06-26","passed","2026-06-26","io.github.matveyvolodin.tests.components.HeaderMenuComponentTest","Surefire test","io.github.matveyvolodin.tests.components.HeaderMenuComponentTest","testDeleteUserAccount"
"Verify that PUT method is not allowed for POST /createAccount endpoint","315","testCreateAccountUnsupportedMethod","Surefire suite","2026-06-26","passed","2026-06-26","io.github.matveyvolodin.api.tests.AccountApiTest","Surefire test","io.github.matveyvolodin.api.tests.AccountApiTest","testCreateAccountUnsupportedMethod"
"Verify that placeholders are presented on the Signup/Login and Signup pages","6390","testPlaceholders","Surefire suite","2026-06-26","passed","2026-06-26","io.github.matveyvolodin.tests.SignupLoginPageTest","Surefire test","io.github.matveyvolodin.tests.SignupLoginPageTest","testPlaceholders"
"Verify that user can log out using the Logout button in the header menu","24011","testUserLogOut","Surefire suite","2026-06-26","passed","2026-06-26","io.github.matveyvolodin.tests.components.HeaderMenuComponentTest","Surefire test","io.github.matveyvolodin.tests.components.HeaderMenuComponentTest","testUserLogOut"
