"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Verify that account was deleted successfully","1","testDeleteUserAccount","Surefire suite","2026-06-12","skipped","2026-06-12","io.github.matveyvolodin.tests.components.HeaderMenuComponentTest","Surefire test","io.github.matveyvolodin.tests.components.HeaderMenuComponentTest","testDeleteUserAccount"
"Verify that an existing user can be deleted successfully via the API","0","testDeleteAccount","Surefire suite","2026-06-12","skipped","2026-06-12","io.github.matveyvolodin.api.tests.AccountApiTest","Surefire test","io.github.matveyvolodin.api.tests.AccountApiTest","testDeleteAccount"
"Verify that user cannot login with invalid credentials","0","testLoginWithInvalidCredentials","Surefire suite","2026-06-12","broken","2026-06-12","io.github.matveyvolodin.tests.SignupLoginPageTest","Surefire test","io.github.matveyvolodin.tests.SignupLoginPageTest","testLoginWithInvalidCredentials"
"Verify that user account was created successfully and user was redirected to the main page","15492","testCreateUserAccount","Surefire suite","2026-06-12","broken","2026-06-12","io.github.matveyvolodin.tests.SignupPageTest","Surefire test","io.github.matveyvolodin.tests.SignupPageTest","testCreateUserAccount"
"Verify that the user cannot register with already registered email","0","testRegisterWithAlreadyRegisteredEmail","Surefire suite","2026-06-12","skipped","2026-06-12","io.github.matveyvolodin.tests.SignupLoginPageTest","Surefire test","io.github.matveyvolodin.tests.SignupLoginPageTest","testRegisterWithAlreadyRegisteredEmail"
"Verify that a new user can be created successfully via the API","2236","testCreateAccount","Surefire suite","2026-06-12","failed","2026-06-12","io.github.matveyvolodin.api.tests.AccountApiTest","Surefire test","io.github.matveyvolodin.api.tests.AccountApiTest","testCreateAccount"
"Verify that user can log out using the Logout button in the header menu","0","testUserLogOut","Surefire suite","2026-06-12","skipped","2026-06-12","io.github.matveyvolodin.tests.components.HeaderMenuComponentTest","Surefire test","io.github.matveyvolodin.tests.components.HeaderMenuComponentTest","testUserLogOut"
"","1","createExistingUser","Surefire suite","2026-06-12","failed","2026-06-12","io.github.matveyvolodin.tests.components.HeaderMenuComponentTest","Surefire test","io.github.matveyvolodin.tests.components.HeaderMenuComponentTest","createExistingUser"
"","0","createExistingUser","Surefire suite","2026-06-12","failed","2026-06-12","io.github.matveyvolodin.tests.SignupLoginPageTest","Surefire test","io.github.matveyvolodin.tests.SignupLoginPageTest","createExistingUser"
"Verify that placeholders are presented on the Signup/Login and Signup pages","0","testPlaceholders","Surefire suite","2026-06-12","skipped","2026-06-12","io.github.matveyvolodin.tests.SignupLoginPageTest","Surefire test","io.github.matveyvolodin.tests.SignupLoginPageTest","testPlaceholders"
"Verify that header tabs lead to the correct web pages","0","testHeaderTabsRedirections","Surefire suite","2026-06-12","skipped","2026-06-12","io.github.matveyvolodin.tests.components.HeaderMenuComponentTest","Surefire test","io.github.matveyvolodin.tests.components.HeaderMenuComponentTest","testHeaderTabsRedirections"
"Verify that the user cannot log in with a deleted account","1","testLoginWithDeletedAccount","Surefire suite","2026-06-12","skipped","2026-06-12","io.github.matveyvolodin.tests.SignupLoginPageTest","Surefire test","io.github.matveyvolodin.tests.SignupLoginPageTest","testLoginWithDeletedAccount"
"Verify that user can login with valid credentials","0","testLoginWithValidCredentials","Surefire suite","2026-06-12","skipped","2026-06-12","io.github.matveyvolodin.tests.SignupLoginPageTest","Surefire test","io.github.matveyvolodin.tests.SignupLoginPageTest","testLoginWithValidCredentials"
"Verify that users can subscribe to the newsletter with a valid email address","20448","testSubscribeToNewsletter","Surefire suite","2026-06-12","broken","2026-06-12","io.github.matveyvolodin.tests.components.FooterComponentTest","Surefire test","io.github.matveyvolodin.tests.components.FooterComponentTest","testSubscribeToNewsletter"
