"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Verify POST /verifyLogin endpoint responses for different input scenarios","1","testVerifyLogin","Automation Exercise","2026-07-17","skipped","2026-07-17","io.github.matveyvolodin.api.tests.AccountApiTest","API Tests","io.github.matveyvolodin.api.tests.AccountApiTest","testVerifyLogin"
"","0","setUp","Automation Exercise","2026-07-17","broken","2026-07-17","io.github.matveyvolodin.api.tests.AccountApiTest","API Tests","io.github.matveyvolodin.api.tests.AccountApiTest","setUp"
"Verify POST /createAccount endpoint responses for different input scenarios","1","testCreateAccount","Automation Exercise","2026-07-17","skipped","2026-07-17","io.github.matveyvolodin.api.tests.AccountApiTest","API Tests","io.github.matveyvolodin.api.tests.AccountApiTest","testCreateAccount"
"Verify PUT /updateAccount endpoint responses for different input scenarios","0","testUpdateAccount","Automation Exercise","2026-07-17","skipped","2026-07-17","io.github.matveyvolodin.api.tests.AccountApiTest","API Tests","io.github.matveyvolodin.api.tests.AccountApiTest","testUpdateAccount"
"Verify DELETE /deleteAccount endpoint responses for different input scenarios","0","testDeleteAccount","Automation Exercise","2026-07-17","skipped","2026-07-17","io.github.matveyvolodin.api.tests.AccountApiTest","API Tests","io.github.matveyvolodin.api.tests.AccountApiTest","testDeleteAccount"
"Verify PUT /updateAccount endpoint responses for different input scenarios","1","testUpdateAccount","Automation Exercise","2026-07-17","skipped","2026-07-17","io.github.matveyvolodin.api.tests.AccountApiTest","API Tests","io.github.matveyvolodin.api.tests.AccountApiTest","testUpdateAccount"
"Verify DELETE /deleteAccount endpoint responses for different input scenarios","1","testDeleteAccount","Automation Exercise","2026-07-17","skipped","2026-07-17","io.github.matveyvolodin.api.tests.AccountApiTest","API Tests","io.github.matveyvolodin.api.tests.AccountApiTest","testDeleteAccount"
"Verify that users can subscribe to the newsletter with a valid email address","16692","testSubscribeToNewsletter","Automation Exercise","2026-07-17","broken","2026-07-17","io.github.matveyvolodin.tests.components.FooterComponentTest","UI Tests","io.github.matveyvolodin.tests.components.FooterComponentTest","testSubscribeToNewsletter"
"Verify DELETE /deleteAccount endpoint responses for different input scenarios","0","testDeleteAccount","Automation Exercise","2026-07-17","skipped","2026-07-17","io.github.matveyvolodin.api.tests.AccountApiTest","API Tests","io.github.matveyvolodin.api.tests.AccountApiTest","testDeleteAccount"
"Verify POST /verifyLogin endpoint responses for different input scenarios","0","testVerifyLogin","Automation Exercise","2026-07-17","skipped","2026-07-17","io.github.matveyvolodin.api.tests.AccountApiTest","API Tests","io.github.matveyvolodin.api.tests.AccountApiTest","testVerifyLogin"
"Verify search product results for different product name inputs","0","testSearchProduct","Automation Exercise","2026-07-17","skipped","2026-07-17","io.github.matveyvolodin.tests.ProductsPageTest","UI Tests","io.github.matveyvolodin.tests.ProductsPageTest","testSearchProduct"
"Verify search product results for different product name inputs","0","testSearchProduct","Automation Exercise","2026-07-17","skipped","2026-07-17","io.github.matveyvolodin.tests.ProductsPageTest","UI Tests","io.github.matveyvolodin.tests.ProductsPageTest","testSearchProduct"
"","1","createUser","Automation Exercise","2026-07-17","broken","2026-07-17","io.github.matveyvolodin.tests.SignupLoginPageTest","UI Tests","io.github.matveyvolodin.tests.SignupLoginPageTest","createUser"
"Verify that user can login with valid credentials","0","testLoginWithValidCredentials","Automation Exercise","2026-07-17","skipped","2026-07-17","io.github.matveyvolodin.tests.SignupLoginPageTest","UI Tests","io.github.matveyvolodin.tests.SignupLoginPageTest","testLoginWithValidCredentials"
"Verify that the user cannot log in with a deleted account","0","testLoginWithDeletedAccount","Automation Exercise","2026-07-17","skipped","2026-07-17","io.github.matveyvolodin.tests.SignupLoginPageTest","UI Tests","io.github.matveyvolodin.tests.SignupLoginPageTest","testLoginWithDeletedAccount"
