"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Verify that user cannot login with invalid credentials","11216","testLoginWithInvalidCredentials","Surefire suite","2026-06-02","passed","2026-06-02","io.github.matveyvolodin.tests.SignupLoginPageTest","Surefire test","io.github.matveyvolodin.tests.SignupLoginPageTest","testLoginWithInvalidCredentials"
"Verify that user account was created successfully and user was redirected to the main page","28410","testCreateUserAccount","Surefire suite","2026-06-02","passed","2026-06-02","io.github.matveyvolodin.tests.SignupPageTest","Surefire test","io.github.matveyvolodin.tests.SignupPageTest","testCreateUserAccount"
"Verify that user cannot login with invalid credentials","11801","testLoginWithInvalidCredentials","Surefire suite","2026-06-02","passed","2026-06-02","io.github.matveyvolodin.tests.SignupLoginPageTest","Surefire test","io.github.matveyvolodin.tests.SignupLoginPageTest","testLoginWithInvalidCredentials"
"Verify that the user cannot register with already registered email","16183","testRegisterWithAlreadyRegisteredEmail","Surefire suite","2026-06-02","passed","2026-06-02","io.github.matveyvolodin.tests.SignupLoginPageTest","Surefire test","io.github.matveyvolodin.tests.SignupLoginPageTest","testRegisterWithAlreadyRegisteredEmail"
"Verify that user can login with valid credentials","17523","testLoginWithValidCredentials","Surefire suite","2026-06-02","passed","2026-06-02","io.github.matveyvolodin.tests.SignupLoginPageTest","Surefire test","io.github.matveyvolodin.tests.SignupLoginPageTest","testLoginWithValidCredentials"
"Verify that account was deleted successfully","27594","testDeleteUserAccount","Surefire suite","2026-06-02","passed","2026-06-02","io.github.matveyvolodin.tests.SignupPageTest","Surefire test","io.github.matveyvolodin.tests.SignupPageTest","testDeleteUserAccount"
"Verify that placeholders are presented on the Signup/Login and Signup pages","10651","testPlaceholders","Surefire suite","2026-06-02","passed","2026-06-02","io.github.matveyvolodin.tests.SignupLoginPageTest","Surefire test","io.github.matveyvolodin.tests.SignupLoginPageTest","testPlaceholders"
"Verify that user cannot login with invalid credentials","11333","testLoginWithInvalidCredentials","Surefire suite","2026-06-02","passed","2026-06-02","io.github.matveyvolodin.tests.SignupLoginPageTest","Surefire test","io.github.matveyvolodin.tests.SignupLoginPageTest","testLoginWithInvalidCredentials"
"Verify that the user cannot log in with a deleted account","11734","testLoginWithDeletedAccount","Surefire suite","2026-06-02","passed","2026-06-02","io.github.matveyvolodin.tests.SignupLoginPageTest","Surefire test","io.github.matveyvolodin.tests.SignupLoginPageTest","testLoginWithDeletedAccount"
"Verify that header tabs lead to the correct web pages","51568","testHeaderTabsRedirections","Surefire suite","2026-06-02","passed","2026-06-02","io.github.matveyvolodin.tests.components.HeaderMenuComponentTest","Surefire test","io.github.matveyvolodin.tests.components.HeaderMenuComponentTest","testHeaderTabsRedirections"
"Verify that a new user can be created successfully via the API","2860","testCreateAccount","Surefire suite","2026-06-02","passed","2026-06-02","io.github.matveyvolodin.api.tests.AccountApiTest","Surefire test","io.github.matveyvolodin.api.tests.AccountApiTest","testCreateAccount"
"Verify that an existing user can be deleted successfully via the API","138","testDeleteAccount","Surefire suite","2026-06-02","passed","2026-06-02","io.github.matveyvolodin.api.tests.AccountApiTest","Surefire test","io.github.matveyvolodin.api.tests.AccountApiTest","testDeleteAccount"
