"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Verify that user account was created successfully and user was redirected to the main page","35270","testCreateUserAccount","Surefire suite","2026-06-12","failed","2026-06-12","io.github.matveyvolodin.tests.SignupPageTest","Surefire test","io.github.matveyvolodin.tests.SignupPageTest","testCreateUserAccount"
"Verify that user can log out using the Logout button in the header menu","44690","testUserLogOut","Surefire suite","2026-06-12","passed","2026-06-12","io.github.matveyvolodin.tests.components.HeaderMenuComponentTest","Surefire test","io.github.matveyvolodin.tests.components.HeaderMenuComponentTest","testUserLogOut"
"Verify that the user cannot register with already registered email","20446","testRegisterWithAlreadyRegisteredEmail","Surefire suite","2026-06-12","passed","2026-06-12","io.github.matveyvolodin.tests.SignupLoginPageTest","Surefire test","io.github.matveyvolodin.tests.SignupLoginPageTest","testRegisterWithAlreadyRegisteredEmail"
"Verify that placeholders are presented on the Signup/Login and Signup pages","13029","testPlaceholders","Surefire suite","2026-06-12","passed","2026-06-12","io.github.matveyvolodin.tests.SignupLoginPageTest","Surefire test","io.github.matveyvolodin.tests.SignupLoginPageTest","testPlaceholders"
"Verify that the user cannot log in with a deleted account","14456","testLoginWithDeletedAccount","Surefire suite","2026-06-12","passed","2026-06-12","io.github.matveyvolodin.tests.SignupLoginPageTest","Surefire test","io.github.matveyvolodin.tests.SignupLoginPageTest","testLoginWithDeletedAccount"
"Verify that a new user can be created successfully via the API","3064","testCreateAccount","Surefire suite","2026-06-12","passed","2026-06-12","io.github.matveyvolodin.api.tests.AccountApiTest","Surefire test","io.github.matveyvolodin.api.tests.AccountApiTest","testCreateAccount"
"Verify that user cannot login with invalid credentials","13440","testLoginWithInvalidCredentials","Surefire suite","2026-06-12","passed","2026-06-12","io.github.matveyvolodin.tests.SignupLoginPageTest","Surefire test","io.github.matveyvolodin.tests.SignupLoginPageTest","testLoginWithInvalidCredentials"
"Verify that user cannot login with invalid credentials","13480","testLoginWithInvalidCredentials","Surefire suite","2026-06-12","passed","2026-06-12","io.github.matveyvolodin.tests.SignupLoginPageTest","Surefire test","io.github.matveyvolodin.tests.SignupLoginPageTest","testLoginWithInvalidCredentials"
"Verify that user can login with valid credentials","27101","testLoginWithValidCredentials","Surefire suite","2026-06-12","passed","2026-06-12","io.github.matveyvolodin.tests.SignupLoginPageTest","Surefire test","io.github.matveyvolodin.tests.SignupLoginPageTest","testLoginWithValidCredentials"
"Verify that an existing user can be deleted successfully via the API","250","testDeleteAccount","Surefire suite","2026-06-12","passed","2026-06-12","io.github.matveyvolodin.api.tests.AccountApiTest","Surefire test","io.github.matveyvolodin.api.tests.AccountApiTest","testDeleteAccount"
"Verify that header tabs lead to the correct web pages","61703","testHeaderTabsRedirections","Surefire suite","2026-06-12","passed","2026-06-12","io.github.matveyvolodin.tests.components.HeaderMenuComponentTest","Surefire test","io.github.matveyvolodin.tests.components.HeaderMenuComponentTest","testHeaderTabsRedirections"
"Verify that user cannot login with invalid credentials","13753","testLoginWithInvalidCredentials","Surefire suite","2026-06-12","passed","2026-06-12","io.github.matveyvolodin.tests.SignupLoginPageTest","Surefire test","io.github.matveyvolodin.tests.SignupLoginPageTest","testLoginWithInvalidCredentials"
"Verify that account was deleted successfully","32329","testDeleteUserAccount","Surefire suite","2026-06-12","passed","2026-06-12","io.github.matveyvolodin.tests.components.HeaderMenuComponentTest","Surefire test","io.github.matveyvolodin.tests.components.HeaderMenuComponentTest","testDeleteUserAccount"
"Verify that users can subscribe to the newsletter with a valid email address","12471","testSubscribeToNewsletter","Surefire suite","2026-06-12","passed","2026-06-12","io.github.matveyvolodin.tests.components.FooterComponentTest","Surefire test","io.github.matveyvolodin.tests.components.FooterComponentTest","testSubscribeToNewsletter"
