"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Verify POST /createAccount endpoint responses for different input scenarios","145","testCreateAccountWithoutName","Surefire suite","2026-07-07","passed","2026-07-07","io.github.matveyvolodin.api.tests.AccountApiTest","Surefire test","io.github.matveyvolodin.api.tests.AccountApiTest","testCreateAccount"
"Verify that header tabs lead to the correct web pages","32562","testHeaderTabsRedirections","Surefire suite","2026-07-07","passed","2026-07-07","io.github.matveyvolodin.tests.components.HeaderMenuComponentTest","Surefire test","io.github.matveyvolodin.tests.components.HeaderMenuComponentTest","testHeaderTabsRedirections"
"Verify DELETE /deleteAccount endpoint responses for different input scenarios","118","testDeleteAccountWithoutPassword","Surefire suite","2026-07-07","passed","2026-07-07","io.github.matveyvolodin.api.tests.AccountApiTest","Surefire test","io.github.matveyvolodin.api.tests.AccountApiTest","testDeleteAccount"
"Verify GET /getUserDetailByEmail endpoint responses for different input scenarios","137","testGetUser","Surefire suite","2026-07-07","passed","2026-07-07","io.github.matveyvolodin.api.tests.AccountApiTest","Surefire test","io.github.matveyvolodin.api.tests.AccountApiTest","testGetUser"
"Verify that user account was created successfully and user was redirected to the main page","18760","testCreateUserAccount","Surefire suite","2026-07-07","passed","2026-07-07","io.github.matveyvolodin.tests.SignupPageTest","Surefire test","io.github.matveyvolodin.tests.SignupPageTest","testCreateUserAccount"
"Verify that PUT method is not allowed for POST /verifyLogin endpoint","109","testVerifyLoginUnsupportedMethod","Surefire suite","2026-07-07","passed","2026-07-07","io.github.matveyvolodin.api.tests.AccountApiTest","Surefire test","io.github.matveyvolodin.api.tests.AccountApiTest","testVerifyLoginUnsupportedMethod"
"Verify PUT /updateAccount endpoint responses for different input scenarios","118","testUpdateAccountWithWrongCredentials","Surefire suite","2026-07-07","passed","2026-07-07","io.github.matveyvolodin.api.tests.AccountApiTest","Surefire test","io.github.matveyvolodin.api.tests.AccountApiTest","testUpdateAccount"
"Verify that user can login with valid credentials","13389","testLoginWithValidCredentials","Surefire suite","2026-07-07","passed","2026-07-07","io.github.matveyvolodin.tests.SignupLoginPageTest","Surefire test","io.github.matveyvolodin.tests.SignupLoginPageTest","testLoginWithValidCredentials"
"Verify POST /verifyLogin endpoint responses for different input scenarios","115","testVerifyLoginWithoutPassword","Surefire suite","2026-07-07","passed","2026-07-07","io.github.matveyvolodin.api.tests.AccountApiTest","Surefire test","io.github.matveyvolodin.api.tests.AccountApiTest","testVerifyLogin"
"Verify GET /getUserDetailByEmail endpoint responses for different input scenarios","254","testGetUserWithoutEmail","Surefire suite","2026-07-07","passed","2026-07-07","io.github.matveyvolodin.api.tests.AccountApiTest","Surefire test","io.github.matveyvolodin.api.tests.AccountApiTest","testGetUser"
"Verify POST /verifyLogin endpoint responses for different input scenarios","111","testVerifyLoginWithoutEmail","Surefire suite","2026-07-07","passed","2026-07-07","io.github.matveyvolodin.api.tests.AccountApiTest","Surefire test","io.github.matveyvolodin.api.tests.AccountApiTest","testVerifyLogin"
"Verify that account was deleted successfully","16770","testDeleteUserAccount","Surefire suite","2026-07-07","passed","2026-07-07","io.github.matveyvolodin.tests.components.HeaderMenuComponentTest","Surefire test","io.github.matveyvolodin.tests.components.HeaderMenuComponentTest","testDeleteUserAccount"
