"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Verify PUT /updateAccount endpoint responses for different input scenarios","0","testUpdateAccount","Surefire suite","2026-06-30","skipped","2026-06-30","io.github.matveyvolodin.api.tests.AccountApiTest","Surefire test","io.github.matveyvolodin.api.tests.AccountApiTest","testUpdateAccount"
"Verify DELETE /deleteAccount endpoint responses for different input scenarios","0","testDeleteAccount","Surefire suite","2026-06-30","skipped","2026-06-30","io.github.matveyvolodin.api.tests.AccountApiTest","Surefire test","io.github.matveyvolodin.api.tests.AccountApiTest","testDeleteAccount"
"Verify POST /createAccount endpoint responses for different input scenarios","0","testCreateAccount","Surefire suite","2026-06-30","skipped","2026-06-30","io.github.matveyvolodin.api.tests.AccountApiTest","Surefire test","io.github.matveyvolodin.api.tests.AccountApiTest","testCreateAccount"
"Verify DELETE /deleteAccount endpoint responses for different input scenarios","0","testDeleteAccount","Surefire suite","2026-06-30","skipped","2026-06-30","io.github.matveyvolodin.api.tests.AccountApiTest","Surefire test","io.github.matveyvolodin.api.tests.AccountApiTest","testDeleteAccount"
"Verify that user can log out using the Logout button in the header menu","0","testUserLogOut","Surefire suite","2026-06-30","skipped","2026-06-30","io.github.matveyvolodin.tests.components.HeaderMenuComponentTest","Surefire test","io.github.matveyvolodin.tests.components.HeaderMenuComponentTest","testUserLogOut"
"Verify POST /createAccount endpoint responses for different input scenarios","1","testCreateAccount","Surefire suite","2026-06-30","skipped","2026-06-30","io.github.matveyvolodin.api.tests.AccountApiTest","Surefire test","io.github.matveyvolodin.api.tests.AccountApiTest","testCreateAccount"
"Verify that user account was created successfully and user was redirected to the main page","13555","testCreateUserAccount","Surefire suite","2026-06-30","broken","2026-06-30","io.github.matveyvolodin.tests.SignupPageTest","Surefire test","io.github.matveyvolodin.tests.SignupPageTest","testCreateUserAccount"
"Verify POST /createAccount endpoint responses for different input scenarios","5","testCreateAccount","Surefire suite","2026-06-30","skipped","2026-06-30","io.github.matveyvolodin.api.tests.AccountApiTest","Surefire test","io.github.matveyvolodin.api.tests.AccountApiTest","testCreateAccount"
"","0","createExistingUser","Surefire suite","2026-06-30","broken","2026-06-30","io.github.matveyvolodin.tests.components.HeaderMenuComponentTest","Surefire test","io.github.matveyvolodin.tests.components.HeaderMenuComponentTest","createExistingUser"
"Verify that PUT method is not allowed for POST /createAccount endpoint","0","testCreateAccountUnsupportedMethod","Surefire suite","2026-06-30","skipped","2026-06-30","io.github.matveyvolodin.api.tests.AccountApiTest","Surefire test","io.github.matveyvolodin.api.tests.AccountApiTest","testCreateAccountUnsupportedMethod"
"Verify PUT /updateAccount endpoint responses for different input scenarios","1","testUpdateAccount","Surefire suite","2026-06-30","skipped","2026-06-30","io.github.matveyvolodin.api.tests.AccountApiTest","Surefire test","io.github.matveyvolodin.api.tests.AccountApiTest","testUpdateAccount"
"Verify PUT /updateAccount endpoint responses for different input scenarios","0","testUpdateAccount","Surefire suite","2026-06-30","skipped","2026-06-30","io.github.matveyvolodin.api.tests.AccountApiTest","Surefire test","io.github.matveyvolodin.api.tests.AccountApiTest","testUpdateAccount"
"Verify that the user cannot log in with a deleted account","0","testLoginWithDeletedAccount","Surefire suite","2026-06-30","skipped","2026-06-30","io.github.matveyvolodin.tests.SignupLoginPageTest","Surefire test","io.github.matveyvolodin.tests.SignupLoginPageTest","testLoginWithDeletedAccount"
"Verify that account was deleted successfully","0","testDeleteUserAccount","Surefire suite","2026-06-30","skipped","2026-06-30","io.github.matveyvolodin.tests.components.HeaderMenuComponentTest","Surefire test","io.github.matveyvolodin.tests.components.HeaderMenuComponentTest","testDeleteUserAccount"
"Verify that user can login with valid credentials","0","testLoginWithValidCredentials","Surefire suite","2026-06-30","skipped","2026-06-30","io.github.matveyvolodin.tests.SignupLoginPageTest","Surefire test","io.github.matveyvolodin.tests.SignupLoginPageTest","testLoginWithValidCredentials"
"Verify DELETE /deleteAccount endpoint responses for different input scenarios","0","testDeleteAccount","Surefire suite","2026-06-30","skipped","2026-06-30","io.github.matveyvolodin.api.tests.AccountApiTest","Surefire test","io.github.matveyvolodin.api.tests.AccountApiTest","testDeleteAccount"
"Verify that user cannot login with invalid credentials","0","testLoginWithInvalidCredentials","Surefire suite","2026-06-30","broken","2026-06-30","io.github.matveyvolodin.tests.SignupLoginPageTest","Surefire test","io.github.matveyvolodin.tests.SignupLoginPageTest","testLoginWithInvalidCredentials"
