"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Verify POST /verifyLogin endpoint responses for different input scenarios","78","testVerifyLoginWithoutEmail","Surefire suite","2026-07-02","passed","2026-07-02","io.github.matveyvolodin.api.tests.AccountApiTest","Surefire test","io.github.matveyvolodin.api.tests.AccountApiTest","testVerifyLogin"
"Verify PUT /updateAccount endpoint responses for different input scenarios","87","testUpdateAccountWithoutEmail","Surefire suite","2026-07-02","passed","2026-07-02","io.github.matveyvolodin.api.tests.AccountApiTest","Surefire test","io.github.matveyvolodin.api.tests.AccountApiTest","testUpdateAccount"
"Verify POST /createAccount endpoint responses for different input scenarios","238","testCreateAccount","Surefire suite","2026-07-02","passed","2026-07-02","io.github.matveyvolodin.api.tests.AccountApiTest","Surefire test","io.github.matveyvolodin.api.tests.AccountApiTest","testCreateAccount"
"Verify that user cannot login with invalid credentials","6634","testLoginWithInvalidCredentials","Surefire suite","2026-07-02","passed","2026-07-02","io.github.matveyvolodin.tests.SignupLoginPageTest","Surefire test","io.github.matveyvolodin.tests.SignupLoginPageTest","testLoginWithInvalidCredentials"
"Verify POST /verifyLogin endpoint responses for different input scenarios","101","testVerifyLogin","Surefire suite","2026-07-02","passed","2026-07-02","io.github.matveyvolodin.api.tests.AccountApiTest","Surefire test","io.github.matveyvolodin.api.tests.AccountApiTest","testVerifyLogin"
"Verify POST /verifyLogin endpoint responses for different input scenarios","158","testVerifyLoginWithoutPassword","Surefire suite","2026-07-02","passed","2026-07-02","io.github.matveyvolodin.api.tests.AccountApiTest","Surefire test","io.github.matveyvolodin.api.tests.AccountApiTest","testVerifyLogin"
"Verify that users can subscribe to the newsletter with a valid email address","6354","testSubscribeToNewsletter","Surefire suite","2026-07-02","passed","2026-07-02","io.github.matveyvolodin.tests.components.FooterComponentTest","Surefire test","io.github.matveyvolodin.tests.components.FooterComponentTest","testSubscribeToNewsletter"
"Verify DELETE /deleteAccount endpoint responses for different input scenarios","99","testDeleteAccountWithoutEmail","Surefire suite","2026-07-02","passed","2026-07-02","io.github.matveyvolodin.api.tests.AccountApiTest","Surefire test","io.github.matveyvolodin.api.tests.AccountApiTest","testDeleteAccount"
"Verify DELETE /deleteAccount endpoint responses for different input scenarios","299","testDeleteAccount","Surefire suite","2026-07-02","passed","2026-07-02","io.github.matveyvolodin.api.tests.AccountApiTest","Surefire test","io.github.matveyvolodin.api.tests.AccountApiTest","testDeleteAccount"
"Verify that user can login with valid credentials","13193","testLoginWithValidCredentials","Surefire suite","2026-07-02","passed","2026-07-02","io.github.matveyvolodin.tests.SignupLoginPageTest","Surefire test","io.github.matveyvolodin.tests.SignupLoginPageTest","testLoginWithValidCredentials"
"Verify that POST method is not allowed for PUT /updateAccount endpoint","77","testUpdateAccountUnsupportedMethod","Surefire suite","2026-07-02","passed","2026-07-02","io.github.matveyvolodin.api.tests.AccountApiTest","Surefire test","io.github.matveyvolodin.api.tests.AccountApiTest","testUpdateAccountUnsupportedMethod"
"Verify that PUT method is not allowed for POST /createAccount endpoint","120","testCreateAccountUnsupportedMethod","Surefire suite","2026-07-02","passed","2026-07-02","io.github.matveyvolodin.api.tests.AccountApiTest","Surefire test","io.github.matveyvolodin.api.tests.AccountApiTest","testCreateAccountUnsupportedMethod"
"Verify PUT /updateAccount endpoint responses for different input scenarios","94","testUpdateAccountWithoutPassword","Surefire suite","2026-07-02","passed","2026-07-02","io.github.matveyvolodin.api.tests.AccountApiTest","Surefire test","io.github.matveyvolodin.api.tests.AccountApiTest","testUpdateAccount"
"Verify that placeholders are presented on the Signup/Login and Signup pages","6380","testPlaceholders","Surefire suite","2026-07-02","passed","2026-07-02","io.github.matveyvolodin.tests.SignupLoginPageTest","Surefire test","io.github.matveyvolodin.tests.SignupLoginPageTest","testPlaceholders"
"Verify PUT /updateAccount endpoint responses for different input scenarios","212","testUpdateAccountWithWrongCredentials","Surefire suite","2026-07-02","passed","2026-07-02","io.github.matveyvolodin.api.tests.AccountApiTest","Surefire test","io.github.matveyvolodin.api.tests.AccountApiTest","testUpdateAccount"
"Verify that user cannot login with invalid credentials","6632","testLoginWithInvalidCredentials","Surefire suite","2026-07-02","passed","2026-07-02","io.github.matveyvolodin.tests.SignupLoginPageTest","Surefire test","io.github.matveyvolodin.tests.SignupLoginPageTest","testLoginWithInvalidCredentials"
"Verify POST /verifyLogin endpoint responses for different input scenarios","88","testVerifyLoginWithWrongCredentials","Surefire suite","2026-07-02","passed","2026-07-02","io.github.matveyvolodin.api.tests.AccountApiTest","Surefire test","io.github.matveyvolodin.api.tests.AccountApiTest","testVerifyLogin"
"Verify that the user cannot log in with a deleted account","6871","testLoginWithDeletedAccount","Surefire suite","2026-07-02","passed","2026-07-02","io.github.matveyvolodin.tests.SignupLoginPageTest","Surefire test","io.github.matveyvolodin.tests.SignupLoginPageTest","testLoginWithDeletedAccount"
"Verify POST /createAccount endpoint responses for different input scenarios","126","testCreateAccountWithoutEmail","Surefire suite","2026-07-02","passed","2026-07-02","io.github.matveyvolodin.api.tests.AccountApiTest","Surefire test","io.github.matveyvolodin.api.tests.AccountApiTest","testCreateAccount"
"Verify that account was deleted successfully","16884","testDeleteUserAccount","Surefire suite","2026-07-02","passed","2026-07-02","io.github.matveyvolodin.tests.components.HeaderMenuComponentTest","Surefire test","io.github.matveyvolodin.tests.components.HeaderMenuComponentTest","testDeleteUserAccount"
"Verify that user cannot login with invalid credentials","6625","testLoginWithInvalidCredentials","Surefire suite","2026-07-02","passed","2026-07-02","io.github.matveyvolodin.tests.SignupLoginPageTest","Surefire test","io.github.matveyvolodin.tests.SignupLoginPageTest","testLoginWithInvalidCredentials"
"Verify that user account was created successfully and user was redirected to the main page","17942","testCreateUserAccount","Surefire suite","2026-07-02","passed","2026-07-02","io.github.matveyvolodin.tests.SignupPageTest","Surefire test","io.github.matveyvolodin.tests.SignupPageTest","testCreateUserAccount"
"Verify that the user cannot register with already registered email","9693","testRegisterWithAlreadyRegisteredEmail","Surefire suite","2026-07-02","passed","2026-07-02","io.github.matveyvolodin.tests.SignupLoginPageTest","Surefire test","io.github.matveyvolodin.tests.SignupLoginPageTest","testRegisterWithAlreadyRegisteredEmail"
"Verify PUT /updateAccount endpoint responses for different input scenarios","104","testUpdateAccount","Surefire suite","2026-07-02","passed","2026-07-02","io.github.matveyvolodin.api.tests.AccountApiTest","Surefire test","io.github.matveyvolodin.api.tests.AccountApiTest","testUpdateAccount"
"Verify that user can log out using the Logout button in the header menu","22623","testUserLogOut","Surefire suite","2026-07-02","passed","2026-07-02","io.github.matveyvolodin.tests.components.HeaderMenuComponentTest","Surefire test","io.github.matveyvolodin.tests.components.HeaderMenuComponentTest","testUserLogOut"
"Verify DELETE /deleteAccount endpoint responses for different input scenarios","107","testDeleteAccountWithWrongCredentials","Surefire suite","2026-07-02","passed","2026-07-02","io.github.matveyvolodin.api.tests.AccountApiTest","Surefire test","io.github.matveyvolodin.api.tests.AccountApiTest","testDeleteAccount"
"Verify POST /createAccount endpoint responses for different input scenarios","174","testCreateAccountWithoutPassword","Surefire suite","2026-07-02","passed","2026-07-02","io.github.matveyvolodin.api.tests.AccountApiTest","Surefire test","io.github.matveyvolodin.api.tests.AccountApiTest","testCreateAccount"
"Verify DELETE /deleteAccount endpoint responses for different input scenarios","90","testDeleteAccountWithoutPassword","Surefire suite","2026-07-02","passed","2026-07-02","io.github.matveyvolodin.api.tests.AccountApiTest","Surefire test","io.github.matveyvolodin.api.tests.AccountApiTest","testDeleteAccount"
