"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Verify that a new user can be created successfully via the API","3431","testCreateAccount","Surefire suite","2026-06-12","passed","2026-06-12","io.github.matveyvolodin.api.tests.AccountApiTest","Surefire test","io.github.matveyvolodin.api.tests.AccountApiTest","testCreateAccount"
"Verify that user cannot login with invalid credentials","7345","testLoginWithInvalidCredentials","Surefire suite","2026-06-12","passed","2026-06-12","io.github.matveyvolodin.tests.SignupLoginPageTest","Surefire test","io.github.matveyvolodin.tests.SignupLoginPageTest","testLoginWithInvalidCredentials"
"Verify that an existing user can be deleted successfully via the API","647","testDeleteAccount","Surefire suite","2026-06-12","passed","2026-06-12","io.github.matveyvolodin.api.tests.AccountApiTest","Surefire test","io.github.matveyvolodin.api.tests.AccountApiTest","testDeleteAccount"
"Verify that the user cannot register with already registered email","10700","testRegisterWithAlreadyRegisteredEmail","Surefire suite","2026-06-12","passed","2026-06-12","io.github.matveyvolodin.tests.SignupLoginPageTest","Surefire test","io.github.matveyvolodin.tests.SignupLoginPageTest","testRegisterWithAlreadyRegisteredEmail"
"Verify that users can subscribe to the newsletter with a valid email address","6378","testSubscribeToNewsletter","Surefire suite","2026-06-12","passed","2026-06-12","io.github.matveyvolodin.tests.components.FooterComponentTest","Surefire test","io.github.matveyvolodin.tests.components.FooterComponentTest","testSubscribeToNewsletter"
"Verify that user account was created successfully and user was redirected to the main page","18941","testCreateUserAccount","Surefire suite","2026-06-12","passed","2026-06-12","io.github.matveyvolodin.tests.SignupPageTest","Surefire test","io.github.matveyvolodin.tests.SignupPageTest","testCreateUserAccount"
"Verify that user cannot login with invalid credentials","7251","testLoginWithInvalidCredentials","Surefire suite","2026-06-12","passed","2026-06-12","io.github.matveyvolodin.tests.SignupLoginPageTest","Surefire test","io.github.matveyvolodin.tests.SignupLoginPageTest","testLoginWithInvalidCredentials"
"Verify that placeholders are presented on the Signup/Login and Signup pages","6461","testPlaceholders","Surefire suite","2026-06-12","passed","2026-06-12","io.github.matveyvolodin.tests.SignupLoginPageTest","Surefire test","io.github.matveyvolodin.tests.SignupLoginPageTest","testPlaceholders"
"Verify that header tabs lead to the correct web pages","43117","testHeaderTabsRedirections","Surefire suite","2026-06-12","passed","2026-06-12","io.github.matveyvolodin.tests.components.HeaderMenuComponentTest","Surefire test","io.github.matveyvolodin.tests.components.HeaderMenuComponentTest","testHeaderTabsRedirections"
"Verify that user can login with valid credentials","15378","testLoginWithValidCredentials","Surefire suite","2026-06-12","passed","2026-06-12","io.github.matveyvolodin.tests.SignupLoginPageTest","Surefire test","io.github.matveyvolodin.tests.SignupLoginPageTest","testLoginWithValidCredentials"
"Verify that user can log out using the Logout button in the header menu","29288","testUserLogOut","Surefire suite","2026-06-12","passed","2026-06-12","io.github.matveyvolodin.tests.components.HeaderMenuComponentTest","Surefire test","io.github.matveyvolodin.tests.components.HeaderMenuComponentTest","testUserLogOut"
"Verify that user cannot login with invalid credentials","7230","testLoginWithInvalidCredentials","Surefire suite","2026-06-12","passed","2026-06-12","io.github.matveyvolodin.tests.SignupLoginPageTest","Surefire test","io.github.matveyvolodin.tests.SignupLoginPageTest","testLoginWithInvalidCredentials"
"Verify that account was deleted successfully","22510","testDeleteUserAccount","Surefire suite","2026-06-12","passed","2026-06-12","io.github.matveyvolodin.tests.components.HeaderMenuComponentTest","Surefire test","io.github.matveyvolodin.tests.components.HeaderMenuComponentTest","testDeleteUserAccount"
"Verify that the user cannot log in with a deleted account","9443","testLoginWithDeletedAccount","Surefire suite","2026-06-12","passed","2026-06-12","io.github.matveyvolodin.tests.SignupLoginPageTest","Surefire test","io.github.matveyvolodin.tests.SignupLoginPageTest","testLoginWithDeletedAccount"
