"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Verify that user account was created successfully and user was redirected to the main page","5200","testCreateUserAccount","Surefire suite","Tue May 26 06:37:43 UTC 2026","passed","Tue May 26 06:37:49 UTC 2026","io.github.matveyvolodin.tests.SignupPageTest","Surefire test","io.github.matveyvolodin.tests.SignupPageTest","testCreateUserAccount"
"Verify that a new user can be created successfully via the API","3530","testCreateAccount","Surefire suite","Tue May 26 06:37:07 UTC 2026","passed","Tue May 26 06:37:11 UTC 2026","io.github.matveyvolodin.api.tests.AccountApiTest","Surefire test","io.github.matveyvolodin.api.tests.AccountApiTest","testCreateAccount"
"Verify that user can login with valid credentials","4283","testLoginWithValidCredentials","Surefire suite","Tue May 26 06:37:35 UTC 2026","passed","Tue May 26 06:37:39 UTC 2026","io.github.matveyvolodin.tests.SignupLoginPageTest","Surefire test","io.github.matveyvolodin.tests.SignupLoginPageTest","testLoginWithValidCredentials"
"Verify that placeholders are presented on the Signup/Login and Signup pages","793","testPlaceholders","Surefire suite","Tue May 26 06:37:41 UTC 2026","passed","Tue May 26 06:37:41 UTC 2026","io.github.matveyvolodin.tests.SignupLoginPageTest","Surefire test","io.github.matveyvolodin.tests.SignupLoginPageTest","testPlaceholders"
"Verify that user cannot login with invalid credentials","1988","testLoginWithInvalidCredentials","Surefire suite","Tue May 26 06:37:24 UTC 2026","passed","Tue May 26 06:37:26 UTC 2026","io.github.matveyvolodin.tests.SignupLoginPageTest","Surefire test","io.github.matveyvolodin.tests.SignupLoginPageTest","testLoginWithInvalidCredentials"
"Verify that account was deleted successfully","4118","testDeleteUserAccount","Surefire suite","Tue May 26 06:37:50 UTC 2026","passed","Tue May 26 06:37:54 UTC 2026","io.github.matveyvolodin.tests.SignupPageTest","Surefire test","io.github.matveyvolodin.tests.SignupPageTest","testDeleteUserAccount"
"Verify that user cannot login with invalid credentials","1111","testLoginWithInvalidCredentials","Surefire suite","Tue May 26 06:37:28 UTC 2026","passed","Tue May 26 06:37:29 UTC 2026","io.github.matveyvolodin.tests.SignupLoginPageTest","Surefire test","io.github.matveyvolodin.tests.SignupLoginPageTest","testLoginWithInvalidCredentials"
"Verify that user cannot login with invalid credentials","1999","testLoginWithInvalidCredentials","Surefire suite","Tue May 26 06:37:30 UTC 2026","passed","Tue May 26 06:37:32 UTC 2026","io.github.matveyvolodin.tests.SignupLoginPageTest","Surefire test","io.github.matveyvolodin.tests.SignupLoginPageTest","testLoginWithInvalidCredentials"
"Verify that an existing user can be deleted successfully via the API","248","testDeleteAccount","Surefire suite","Tue May 26 06:37:11 UTC 2026","passed","Tue May 26 06:37:11 UTC 2026","io.github.matveyvolodin.api.tests.AccountApiTest","Surefire test","io.github.matveyvolodin.api.tests.AccountApiTest","testDeleteAccount"
