"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Verify that account was deleted successfully","27254","testDeleteUserAccount","Surefire suite","Thu May 28 07:16:17 UTC 2026","passed","Thu May 28 07:16:44 UTC 2026","io.github.matveyvolodin.tests.SignupPageTest","Surefire test","io.github.matveyvolodin.tests.SignupPageTest","testDeleteUserAccount"
"Verify that user cannot login with invalid credentials","11894","testLoginWithInvalidCredentials","Surefire suite","Thu May 28 07:17:01 UTC 2026","passed","Thu May 28 07:17:13 UTC 2026","io.github.matveyvolodin.tests.SignupLoginPageTest","Surefire test","io.github.matveyvolodin.tests.SignupLoginPageTest","testLoginWithInvalidCredentials"
"Verify that a new user can be created successfully via the API","3148","testCreateAccount","Surefire suite","Thu May 28 07:15:32 UTC 2026","passed","Thu May 28 07:15:35 UTC 2026","io.github.matveyvolodin.api.tests.AccountApiTest","Surefire test","io.github.matveyvolodin.api.tests.AccountApiTest","testCreateAccount"
"Verify that user cannot login with invalid credentials","12365","testLoginWithInvalidCredentials","Surefire suite","Thu May 28 07:17:14 UTC 2026","passed","Thu May 28 07:17:27 UTC 2026","io.github.matveyvolodin.tests.SignupLoginPageTest","Surefire test","io.github.matveyvolodin.tests.SignupLoginPageTest","testLoginWithInvalidCredentials"
"Verify that an existing user can be deleted successfully via the API","221","testDeleteAccount","Surefire suite","Thu May 28 07:15:35 UTC 2026","passed","Thu May 28 07:15:36 UTC 2026","io.github.matveyvolodin.api.tests.AccountApiTest","Surefire test","io.github.matveyvolodin.api.tests.AccountApiTest","testDeleteAccount"
"Verify that user account was created successfully and user was redirected to the main page","29329","testCreateUserAccount","Surefire suite","Thu May 28 07:15:46 UTC 2026","passed","Thu May 28 07:16:16 UTC 2026","io.github.matveyvolodin.tests.SignupPageTest","Surefire test","io.github.matveyvolodin.tests.SignupPageTest","testCreateUserAccount"
"Verify that placeholders are presented on the Signup/Login and Signup pages","10826","testPlaceholders","Surefire suite","Thu May 28 07:18:02 UTC 2026","passed","Thu May 28 07:18:13 UTC 2026","io.github.matveyvolodin.tests.SignupLoginPageTest","Surefire test","io.github.matveyvolodin.tests.SignupLoginPageTest","testPlaceholders"
"Verify that the user cannot log in with a deleted account","12299","testLoginWithDeletedAccount","Surefire suite","Thu May 28 07:16:47 UTC 2026","passed","Thu May 28 07:16:59 UTC 2026","io.github.matveyvolodin.tests.SignupLoginPageTest","Surefire test","io.github.matveyvolodin.tests.SignupLoginPageTest","testLoginWithDeletedAccount"
"Verify that user can login with valid credentials","18798","testLoginWithValidCredentials","Surefire suite","Thu May 28 07:17:42 UTC 2026","passed","Thu May 28 07:18:00 UTC 2026","io.github.matveyvolodin.tests.SignupLoginPageTest","Surefire test","io.github.matveyvolodin.tests.SignupLoginPageTest","testLoginWithValidCredentials"
"Verify that user cannot login with invalid credentials","11841","testLoginWithInvalidCredentials","Surefire suite","Thu May 28 07:17:28 UTC 2026","passed","Thu May 28 07:17:40 UTC 2026","io.github.matveyvolodin.tests.SignupLoginPageTest","Surefire test","io.github.matveyvolodin.tests.SignupLoginPageTest","testLoginWithInvalidCredentials"
