"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Verify that user account was created successfully and user was redirected to the main page","6658","testCreateUserAccount","Surefire suite","Fri May 15 06:18:31 UTC 2026","passed","Fri May 15 06:18:37 UTC 2026","io.github.matveyvolodin.tests.SignupPageTest","Surefire test","io.github.matveyvolodin.tests.SignupPageTest","testCreateUserAccount"
"Verify that placeholders are presented on the Signup/Login and Signup pages","1437","testPlaceholders","Surefire suite","Fri May 15 06:18:28 UTC 2026","passed","Fri May 15 06:18:29 UTC 2026","io.github.matveyvolodin.tests.SignupLoginPageTest","Surefire test","io.github.matveyvolodin.tests.SignupLoginPageTest","testPlaceholders"
"Verify that account was deleted successfully","4410","testDeleteUserAccount","Surefire suite","Fri May 15 06:18:39 UTC 2026","passed","Fri May 15 06:18:43 UTC 2026","io.github.matveyvolodin.tests.SignupPageTest","Surefire test","io.github.matveyvolodin.tests.SignupPageTest","testDeleteUserAccount"
