"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Verify POST /createAccount endpoint responses for different input scenarios","343","testCreateAccount","Surefire suite","2026-06-30","passed","2026-06-30","io.github.matveyvolodin.api.tests.AccountApiTest","Surefire test","io.github.matveyvolodin.api.tests.AccountApiTest","testCreateAccount"
"Verify DELETE /deleteAccount endpoint responses for different input scenarios","151","testDeleteAccount","Surefire suite","2026-06-30","passed","2026-06-30","io.github.matveyvolodin.api.tests.AccountApiTest","Surefire test","io.github.matveyvolodin.api.tests.AccountApiTest","testDeleteAccount"
"Verify POST /createAccount endpoint responses for different input scenarios","361","testCreateAccount","Surefire suite","2026-06-30","passed","2026-06-30","io.github.matveyvolodin.api.tests.AccountApiTest","Surefire test","io.github.matveyvolodin.api.tests.AccountApiTest","testCreateAccount"
"Verify that user can login with valid credentials","13625","testLoginWithValidCredentials","Surefire suite","2026-06-30","passed","2026-06-30","io.github.matveyvolodin.tests.SignupLoginPageTest","Surefire test","io.github.matveyvolodin.tests.SignupLoginPageTest","testLoginWithValidCredentials"
"Verify POST /createAccount endpoint responses for different input scenarios","351","testCreateAccount","Surefire suite","2026-06-30","passed","2026-06-30","io.github.matveyvolodin.api.tests.AccountApiTest","Surefire test","io.github.matveyvolodin.api.tests.AccountApiTest","testCreateAccount"
"Verify that user cannot login with invalid credentials","6696","testLoginWithInvalidCredentials","Surefire suite","2026-06-30","passed","2026-06-30","io.github.matveyvolodin.tests.SignupLoginPageTest","Surefire test","io.github.matveyvolodin.tests.SignupLoginPageTest","testLoginWithInvalidCredentials"
"Verify that POST method is not allowed for DELETE /deleteAccount endpoint","143","testDeleteAccountUnsupportedMethod","Surefire suite","2026-06-30","passed","2026-06-30","io.github.matveyvolodin.api.tests.AccountApiTest","Surefire test","io.github.matveyvolodin.api.tests.AccountApiTest","testDeleteAccountUnsupportedMethod"
"Verify DELETE /deleteAccount endpoint responses for different input scenarios","147","testDeleteAccount","Surefire suite","2026-06-30","passed","2026-06-30","io.github.matveyvolodin.api.tests.AccountApiTest","Surefire test","io.github.matveyvolodin.api.tests.AccountApiTest","testDeleteAccount"
"Verify that user account was created successfully and user was redirected to the main page","18612","testCreateUserAccount","Surefire suite","2026-06-30","passed","2026-06-30","io.github.matveyvolodin.tests.SignupPageTest","Surefire test","io.github.matveyvolodin.tests.SignupPageTest","testCreateUserAccount"
"Verify DELETE /deleteAccount endpoint responses for different input scenarios","342","testDeleteAccount","Surefire suite","2026-06-30","passed","2026-06-30","io.github.matveyvolodin.api.tests.AccountApiTest","Surefire test","io.github.matveyvolodin.api.tests.AccountApiTest","testDeleteAccount"
"Verify that PUT method is not allowed for POST /createAccount endpoint","341","testCreateAccountUnsupportedMethod","Surefire suite","2026-06-30","passed","2026-06-30","io.github.matveyvolodin.api.tests.AccountApiTest","Surefire test","io.github.matveyvolodin.api.tests.AccountApiTest","testCreateAccountUnsupportedMethod"
"Verify that user can log out using the Logout button in the header menu","22815","testUserLogOut","Surefire suite","2026-06-30","passed","2026-06-30","io.github.matveyvolodin.tests.components.HeaderMenuComponentTest","Surefire test","io.github.matveyvolodin.tests.components.HeaderMenuComponentTest","testUserLogOut"
"Verify that user cannot login with invalid credentials","6718","testLoginWithInvalidCredentials","Surefire suite","2026-06-30","passed","2026-06-30","io.github.matveyvolodin.tests.SignupLoginPageTest","Surefire test","io.github.matveyvolodin.tests.SignupLoginPageTest","testLoginWithInvalidCredentials"
"Verify that the user cannot log in with a deleted account","7388","testLoginWithDeletedAccount","Surefire suite","2026-06-30","passed","2026-06-30","io.github.matveyvolodin.tests.SignupLoginPageTest","Surefire test","io.github.matveyvolodin.tests.SignupLoginPageTest","testLoginWithDeletedAccount"
"Verify that users can subscribe to the newsletter with a valid email address","6341","testSubscribeToNewsletter","Surefire suite","2026-06-30","passed","2026-06-30","io.github.matveyvolodin.tests.components.FooterComponentTest","Surefire test","io.github.matveyvolodin.tests.components.FooterComponentTest","testSubscribeToNewsletter"
"Verify POST /createAccount endpoint responses for different input scenarios","382","testCreateAccount","Surefire suite","2026-06-30","passed","2026-06-30","io.github.matveyvolodin.api.tests.AccountApiTest","Surefire test","io.github.matveyvolodin.api.tests.AccountApiTest","testCreateAccount"
"Verify DELETE /deleteAccount endpoint responses for different input scenarios","149","testDeleteAccount","Surefire suite","2026-06-30","passed","2026-06-30","io.github.matveyvolodin.api.tests.AccountApiTest","Surefire test","io.github.matveyvolodin.api.tests.AccountApiTest","testDeleteAccount"
"Verify that user cannot login with invalid credentials","6704","testLoginWithInvalidCredentials","Surefire suite","2026-06-30","passed","2026-06-30","io.github.matveyvolodin.tests.SignupLoginPageTest","Surefire test","io.github.matveyvolodin.tests.SignupLoginPageTest","testLoginWithInvalidCredentials"
"Verify that header tabs lead to the correct web pages","32205","testHeaderTabsRedirections","Surefire suite","2026-06-30","passed","2026-06-30","io.github.matveyvolodin.tests.components.HeaderMenuComponentTest","Surefire test","io.github.matveyvolodin.tests.components.HeaderMenuComponentTest","testHeaderTabsRedirections"
"Verify that placeholders are presented on the Signup/Login and Signup pages","6459","testPlaceholders","Surefire suite","2026-06-30","passed","2026-06-30","io.github.matveyvolodin.tests.SignupLoginPageTest","Surefire test","io.github.matveyvolodin.tests.SignupLoginPageTest","testPlaceholders"
"Verify POST /createAccount endpoint responses for different input scenarios","351","testCreateAccount","Surefire suite","2026-06-30","passed","2026-06-30","io.github.matveyvolodin.api.tests.AccountApiTest","Surefire test","io.github.matveyvolodin.api.tests.AccountApiTest","testCreateAccount"
"Verify that the user cannot register with already registered email","9774","testRegisterWithAlreadyRegisteredEmail","Surefire suite","2026-06-30","passed","2026-06-30","io.github.matveyvolodin.tests.SignupLoginPageTest","Surefire test","io.github.matveyvolodin.tests.SignupLoginPageTest","testRegisterWithAlreadyRegisteredEmail"
"Verify that account was deleted successfully","16990","testDeleteUserAccount","Surefire suite","2026-06-30","passed","2026-06-30","io.github.matveyvolodin.tests.components.HeaderMenuComponentTest","Surefire test","io.github.matveyvolodin.tests.components.HeaderMenuComponentTest","testDeleteUserAccount"
