"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Verify that user cannot login with invalid credentials","885","testLoginWithInvalidCredentials","Surefire suite","Thu May 28 06:07:32 UTC 2026","passed","Thu May 28 06:07:33 UTC 2026","io.github.matveyvolodin.tests.SignupLoginPageTest","Surefire test","io.github.matveyvolodin.tests.SignupLoginPageTest","testLoginWithInvalidCredentials"
"Verify that user account was created successfully and user was redirected to the main page","3300","testCreateUserAccount","Surefire suite","Thu May 28 06:07:44 UTC 2026","passed","Thu May 28 06:07:47 UTC 2026","io.github.matveyvolodin.tests.SignupPageTest","Surefire test","io.github.matveyvolodin.tests.SignupPageTest","testCreateUserAccount"
"Verify that placeholders are presented on the Signup/Login and Signup pages","519","testPlaceholders","Surefire suite","Thu May 28 06:07:42 UTC 2026","passed","Thu May 28 06:07:42 UTC 2026","io.github.matveyvolodin.tests.SignupLoginPageTest","Surefire test","io.github.matveyvolodin.tests.SignupLoginPageTest","testPlaceholders"
"Verify that user can login with valid credentials","1245","testLoginWithValidCredentials","Surefire suite","Thu May 28 06:07:39 UTC 2026","broken","Thu May 28 06:07:41 UTC 2026","io.github.matveyvolodin.tests.SignupLoginPageTest","Surefire test","io.github.matveyvolodin.tests.SignupLoginPageTest","testLoginWithValidCredentials"
"Verify that user cannot login with invalid credentials","994","testLoginWithInvalidCredentials","Surefire suite","Thu May 28 06:07:37 UTC 2026","passed","Thu May 28 06:07:38 UTC 2026","io.github.matveyvolodin.tests.SignupLoginPageTest","Surefire test","io.github.matveyvolodin.tests.SignupLoginPageTest","testLoginWithInvalidCredentials"
"Verify that an existing user can be deleted successfully via the API","424","testDeleteAccount","Surefire suite","Thu May 28 06:07:18 UTC 2026","passed","Thu May 28 06:07:18 UTC 2026","io.github.matveyvolodin.api.tests.AccountApiTest","Surefire test","io.github.matveyvolodin.api.tests.AccountApiTest","testDeleteAccount"
"Verify that account was deleted successfully","3019","testDeleteUserAccount","Surefire suite","Thu May 28 06:07:49 UTC 2026","passed","Thu May 28 06:07:52 UTC 2026","io.github.matveyvolodin.tests.SignupPageTest","Surefire test","io.github.matveyvolodin.tests.SignupPageTest","testDeleteUserAccount"
"Verify that user cannot login with invalid credentials","1115","testLoginWithInvalidCredentials","Surefire suite","Thu May 28 06:07:35 UTC 2026","passed","Thu May 28 06:07:36 UTC 2026","io.github.matveyvolodin.tests.SignupLoginPageTest","Surefire test","io.github.matveyvolodin.tests.SignupLoginPageTest","testLoginWithInvalidCredentials"
"Verify that the user cannot log in with a deleted account","2073","testLoginWithDeletedAccount","Surefire suite","Thu May 28 06:07:28 UTC 2026","passed","Thu May 28 06:07:30 UTC 2026","io.github.matveyvolodin.tests.SignupLoginPageTest","Surefire test","io.github.matveyvolodin.tests.SignupLoginPageTest","testLoginWithDeletedAccount"
"Verify that a new user can be created successfully via the API","2964","testCreateAccount","Surefire suite","Thu May 28 06:07:15 UTC 2026","passed","Thu May 28 06:07:18 UTC 2026","io.github.matveyvolodin.api.tests.AccountApiTest","Surefire test","io.github.matveyvolodin.api.tests.AccountApiTest","testCreateAccount"
