"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Verify that user account was created successfully and user was redirected to the main page","9002","testCreateUserAccount","Surefire suite","Fri May 15 06:01:33 UTC 2026","passed","Fri May 15 06:01:42 UTC 2026","io.github.matveyvolodin.tests.SignupPageTest","Surefire test","io.github.matveyvolodin.tests.SignupPageTest","testCreateUserAccount"
"Verify that account was deleted successfully","7269","testDeleteUserAccount","Surefire suite","Fri May 15 06:01:45 UTC 2026","passed","Fri May 15 06:01:52 UTC 2026","io.github.matveyvolodin.tests.SignupPageTest","Surefire test","io.github.matveyvolodin.tests.SignupPageTest","testDeleteUserAccount"
"Verify that placeholders are presented on the Signup/Login and Signup pages","10444","testPlaceholders","Surefire suite","Fri May 15 06:01:19 UTC 2026","broken","Fri May 15 06:01:30 UTC 2026","io.github.matveyvolodin.tests.SignupLoginPageTest","Surefire test","io.github.matveyvolodin.tests.SignupLoginPageTest","testPlaceholders"
