"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Verify that user can log out using the Logout button in the header menu","38649","testUserLogOut","Surefire suite","2026-06-08","passed","2026-06-08","io.github.matveyvolodin.tests.components.HeaderMenuComponentTest","Surefire test","io.github.matveyvolodin.tests.components.HeaderMenuComponentTest","testUserLogOut"
"Verify that user can login with valid credentials","22988","testLoginWithValidCredentials","Surefire suite","2026-06-08","passed","2026-06-08","io.github.matveyvolodin.tests.SignupLoginPageTest","Surefire test","io.github.matveyvolodin.tests.SignupLoginPageTest","testLoginWithValidCredentials"
"Verify that user cannot login with invalid credentials","11682","testLoginWithInvalidCredentials","Surefire suite","2026-06-08","passed","2026-06-08","io.github.matveyvolodin.tests.SignupLoginPageTest","Surefire test","io.github.matveyvolodin.tests.SignupLoginPageTest","testLoginWithInvalidCredentials"
"Verify that user cannot login with invalid credentials","11593","testLoginWithInvalidCredentials","Surefire suite","2026-06-08","passed","2026-06-08","io.github.matveyvolodin.tests.SignupLoginPageTest","Surefire test","io.github.matveyvolodin.tests.SignupLoginPageTest","testLoginWithInvalidCredentials"
"Verify that header tabs lead to the correct web pages","53911","testHeaderTabsRedirections","Surefire suite","2026-06-08","passed","2026-06-08","io.github.matveyvolodin.tests.components.HeaderMenuComponentTest","Surefire test","io.github.matveyvolodin.tests.components.HeaderMenuComponentTest","testHeaderTabsRedirections"
"Verify that an existing user can be deleted successfully via the API","310","testDeleteAccount","Surefire suite","2026-06-08","passed","2026-06-08","io.github.matveyvolodin.api.tests.AccountApiTest","Surefire test","io.github.matveyvolodin.api.tests.AccountApiTest","testDeleteAccount"
"Verify that placeholders are presented on the Signup/Login and Signup pages","10774","testPlaceholders","Surefire suite","2026-06-08","passed","2026-06-08","io.github.matveyvolodin.tests.SignupLoginPageTest","Surefire test","io.github.matveyvolodin.tests.SignupLoginPageTest","testPlaceholders"
"Verify that the user cannot log in with a deleted account","12191","testLoginWithDeletedAccount","Surefire suite","2026-06-08","passed","2026-06-08","io.github.matveyvolodin.tests.SignupLoginPageTest","Surefire test","io.github.matveyvolodin.tests.SignupLoginPageTest","testLoginWithDeletedAccount"
"Verify that account was deleted successfully","28018","testDeleteUserAccount","Surefire suite","2026-06-08","passed","2026-06-08","io.github.matveyvolodin.tests.SignupPageTest","Surefire test","io.github.matveyvolodin.tests.SignupPageTest","testDeleteUserAccount"
"Verify that user cannot login with invalid credentials","11890","testLoginWithInvalidCredentials","Surefire suite","2026-06-08","passed","2026-06-08","io.github.matveyvolodin.tests.SignupLoginPageTest","Surefire test","io.github.matveyvolodin.tests.SignupLoginPageTest","testLoginWithInvalidCredentials"
"Verify that the user cannot register with already registered email","16818","testRegisterWithAlreadyRegisteredEmail","Surefire suite","2026-06-08","passed","2026-06-08","io.github.matveyvolodin.tests.SignupLoginPageTest","Surefire test","io.github.matveyvolodin.tests.SignupLoginPageTest","testRegisterWithAlreadyRegisteredEmail"
"Verify that user account was created successfully and user was redirected to the main page","31355","testCreateUserAccount","Surefire suite","2026-06-08","passed","2026-06-08","io.github.matveyvolodin.tests.SignupPageTest","Surefire test","io.github.matveyvolodin.tests.SignupPageTest","testCreateUserAccount"
"Verify that a new user can be created successfully via the API","3058","testCreateAccount","Surefire suite","2026-06-08","passed","2026-06-08","io.github.matveyvolodin.api.tests.AccountApiTest","Surefire test","io.github.matveyvolodin.api.tests.AccountApiTest","testCreateAccount"
