"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Verify POST /createAccount endpoint responses for different input scenarios","4","testCreateAccount","Surefire suite","2026-06-30","skipped","2026-06-30","io.github.matveyvolodin.api.tests.AccountApiTest","Surefire test","io.github.matveyvolodin.api.tests.AccountApiTest","testCreateAccount"
"Verify that placeholders are presented on the Signup/Login and Signup pages","1","testPlaceholders","Surefire suite","2026-06-30","skipped","2026-06-30","io.github.matveyvolodin.tests.SignupLoginPageTest","Surefire test","io.github.matveyvolodin.tests.SignupLoginPageTest","testPlaceholders"
"Verify DELETE /deleteAccount endpoint responses for different input scenarios","0","testDeleteAccount","Surefire suite","2026-06-30","skipped","2026-06-30","io.github.matveyvolodin.api.tests.AccountApiTest","Surefire test","io.github.matveyvolodin.api.tests.AccountApiTest","testDeleteAccount"
"Verify POST /createAccount endpoint responses for different input scenarios","0","testCreateAccount","Surefire suite","2026-06-30","skipped","2026-06-30","io.github.matveyvolodin.api.tests.AccountApiTest","Surefire test","io.github.matveyvolodin.api.tests.AccountApiTest","testCreateAccount"
"Verify that PUT method is not allowed for POST /createAccount endpoint","0","testCreateAccountUnsupportedMethod","Surefire suite","2026-06-30","skipped","2026-06-30","io.github.matveyvolodin.api.tests.AccountApiTest","Surefire test","io.github.matveyvolodin.api.tests.AccountApiTest","testCreateAccountUnsupportedMethod"
"Verify POST /createAccount endpoint responses for different input scenarios","0","testCreateAccount","Surefire suite","2026-06-30","skipped","2026-06-30","io.github.matveyvolodin.api.tests.AccountApiTest","Surefire test","io.github.matveyvolodin.api.tests.AccountApiTest","testCreateAccount"
"Verify that the user cannot register with already registered email","0","testRegisterWithAlreadyRegisteredEmail","Surefire suite","2026-06-30","skipped","2026-06-30","io.github.matveyvolodin.tests.SignupLoginPageTest","Surefire test","io.github.matveyvolodin.tests.SignupLoginPageTest","testRegisterWithAlreadyRegisteredEmail"
"Verify that the user cannot log in with a deleted account","0","testLoginWithDeletedAccount","Surefire suite","2026-06-30","skipped","2026-06-30","io.github.matveyvolodin.tests.SignupLoginPageTest","Surefire test","io.github.matveyvolodin.tests.SignupLoginPageTest","testLoginWithDeletedAccount"
"Verify DELETE /deleteAccount endpoint responses for different input scenarios","0","testDeleteAccount","Surefire suite","2026-06-30","skipped","2026-06-30","io.github.matveyvolodin.api.tests.AccountApiTest","Surefire test","io.github.matveyvolodin.api.tests.AccountApiTest","testDeleteAccount"
"Verify that user account was created successfully and user was redirected to the main page","13305","testCreateUserAccount","Surefire suite","2026-06-30","broken","2026-06-30","io.github.matveyvolodin.tests.SignupPageTest","Surefire test","io.github.matveyvolodin.tests.SignupPageTest","testCreateUserAccount"
"Verify that header tabs lead to the correct web pages","0","testHeaderTabsRedirections","Surefire suite","2026-06-30","skipped","2026-06-30","io.github.matveyvolodin.tests.components.HeaderMenuComponentTest","Surefire test","io.github.matveyvolodin.tests.components.HeaderMenuComponentTest","testHeaderTabsRedirections"
"Verify POST /createAccount endpoint responses for different input scenarios","0","testCreateAccount","Surefire suite","2026-06-30","skipped","2026-06-30","io.github.matveyvolodin.api.tests.AccountApiTest","Surefire test","io.github.matveyvolodin.api.tests.AccountApiTest","testCreateAccount"
"","2","setUp","Surefire suite","2026-06-30","broken","2026-06-30","io.github.matveyvolodin.api.tests.AccountApiTest","Surefire test","io.github.matveyvolodin.api.tests.AccountApiTest","setUp"
"Verify POST /createAccount endpoint responses for different input scenarios","0","testCreateAccount","Surefire suite","2026-06-30","skipped","2026-06-30","io.github.matveyvolodin.api.tests.AccountApiTest","Surefire test","io.github.matveyvolodin.api.tests.AccountApiTest","testCreateAccount"
