"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Verify that user cannot login with invalid credentials","11059","testLoginWithInvalidCredentials","Surefire suite","2026-06-12","passed","2026-06-12","io.github.matveyvolodin.tests.SignupLoginPageTest","Surefire test","io.github.matveyvolodin.tests.SignupLoginPageTest","testLoginWithInvalidCredentials"
"Verify that account was deleted successfully","45681","testDeleteUserAccount","Surefire suite","2026-06-12","broken","2026-06-12","io.github.matveyvolodin.tests.SignupPageTest","Surefire test","io.github.matveyvolodin.tests.SignupPageTest","testDeleteUserAccount"
"Verify that user account was created successfully and user was redirected to the main page","29231","testCreateUserAccount","Surefire suite","2026-06-12","passed","2026-06-12","io.github.matveyvolodin.tests.SignupPageTest","Surefire test","io.github.matveyvolodin.tests.SignupPageTest","testCreateUserAccount"
"Verify that the user cannot log in with a deleted account","18673","testLoginWithDeletedAccount","Surefire suite","2026-06-12","passed","2026-06-12","io.github.matveyvolodin.tests.SignupLoginPageTest","Surefire test","io.github.matveyvolodin.tests.SignupLoginPageTest","testLoginWithDeletedAccount"
"Verify that user can login with valid credentials","22909","testLoginWithValidCredentials","Surefire suite","2026-06-12","passed","2026-06-12","io.github.matveyvolodin.tests.SignupLoginPageTest","Surefire test","io.github.matveyvolodin.tests.SignupLoginPageTest","testLoginWithValidCredentials"
"Verify that placeholders are presented on the Signup/Login and Signup pages","11307","testPlaceholders","Surefire suite","2026-06-12","passed","2026-06-12","io.github.matveyvolodin.tests.SignupLoginPageTest","Surefire test","io.github.matveyvolodin.tests.SignupLoginPageTest","testPlaceholders"
"Verify that user can log out using the Logout button in the header menu","46153","testUserLogOut","Surefire suite","2026-06-12","passed","2026-06-12","io.github.matveyvolodin.tests.components.HeaderMenuComponentTest","Surefire test","io.github.matveyvolodin.tests.components.HeaderMenuComponentTest","testUserLogOut"
"Verify that header tabs lead to the correct web pages","10301","testHeaderTabsRedirections","Surefire suite","2026-06-12","failed","2026-06-12","io.github.matveyvolodin.tests.components.HeaderMenuComponentTest","Surefire test","io.github.matveyvolodin.tests.components.HeaderMenuComponentTest","testHeaderTabsRedirections"
"Verify that the user cannot register with already registered email","16844","testRegisterWithAlreadyRegisteredEmail","Surefire suite","2026-06-12","passed","2026-06-12","io.github.matveyvolodin.tests.SignupLoginPageTest","Surefire test","io.github.matveyvolodin.tests.SignupLoginPageTest","testRegisterWithAlreadyRegisteredEmail"
"Verify that user cannot login with invalid credentials","11137","testLoginWithInvalidCredentials","Surefire suite","2026-06-12","passed","2026-06-12","io.github.matveyvolodin.tests.SignupLoginPageTest","Surefire test","io.github.matveyvolodin.tests.SignupLoginPageTest","testLoginWithInvalidCredentials"
"Verify that an existing user can be deleted successfully via the API","643","testDeleteAccount","Surefire suite","2026-06-12","passed","2026-06-12","io.github.matveyvolodin.api.tests.AccountApiTest","Surefire test","io.github.matveyvolodin.api.tests.AccountApiTest","testDeleteAccount"
"Verify that user cannot login with invalid credentials","11082","testLoginWithInvalidCredentials","Surefire suite","2026-06-12","passed","2026-06-12","io.github.matveyvolodin.tests.SignupLoginPageTest","Surefire test","io.github.matveyvolodin.tests.SignupLoginPageTest","testLoginWithInvalidCredentials"
"Verify that a new user can be created successfully via the API","3135","testCreateAccount","Surefire suite","2026-06-12","passed","2026-06-12","io.github.matveyvolodin.api.tests.AccountApiTest","Surefire test","io.github.matveyvolodin.api.tests.AccountApiTest","testCreateAccount"
