"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Verify that account was deleted successfully","6637","testDeleteUserAccount","Surefire suite","Fri May 15 05:55:58 UTC 2026","passed","Fri May 15 05:56:05 UTC 2026","io.github.matveyvolodin.tests.SignupPageTest","Surefire test","io.github.matveyvolodin.tests.SignupPageTest","testDeleteUserAccount"
"Verify that placeholders are presented on the Signup/Login and Signup pages","1081","testPlaceholders","Surefire suite","Fri May 15 05:55:44 UTC 2026","passed","Fri May 15 05:55:45 UTC 2026","io.github.matveyvolodin.tests.SignupLoginPageTest","Surefire test","io.github.matveyvolodin.tests.SignupLoginPageTest","testPlaceholders"
"Verify that user account was created successfully and user was redirected to the main page","9387","testCreateUserAccount","Surefire suite","Fri May 15 05:55:46 UTC 2026","passed","Fri May 15 05:55:55 UTC 2026","io.github.matveyvolodin.tests.SignupPageTest","Surefire test","io.github.matveyvolodin.tests.SignupPageTest","testCreateUserAccount"
