"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Verify PUT /updateAccount endpoint responses for different input scenarios","79","testUpdateAccountWithoutEmail","Automation Exercise","2026-07-14","passed","2026-07-14","io.github.matveyvolodin.api.tests.AccountApiTest","API Tests","io.github.matveyvolodin.api.tests.AccountApiTest","testUpdateAccount"
"Verify POST /createAccount endpoint responses for different input scenarios","148","testCreateAccountWithExistingEmail","Automation Exercise","2026-07-14","passed","2026-07-14","io.github.matveyvolodin.api.tests.AccountApiTest","API Tests","io.github.matveyvolodin.api.tests.AccountApiTest","testCreateAccount"
"Verify that user account was created successfully and user was redirected to the main page","17128","testCreateUserAccount","Automation Exercise","2026-07-14","passed","2026-07-14","io.github.matveyvolodin.tests.SignupPageTest","UI Tests","io.github.matveyvolodin.tests.SignupPageTest","testCreateUserAccount"
"Verify GET /getUserDetailByEmail endpoint responses for different input scenarios","86","testGetUserWithoutEmail","Automation Exercise","2026-07-14","passed","2026-07-14","io.github.matveyvolodin.api.tests.AccountApiTest","API Tests","io.github.matveyvolodin.api.tests.AccountApiTest","testGetUser"
"Verify that POST method is not allowed for GET /getUserDetailByEmail endpoint","99","testGetUserUnsupportedMethod","Automation Exercise","2026-07-14","passed","2026-07-14","io.github.matveyvolodin.api.tests.AccountApiTest","API Tests","io.github.matveyvolodin.api.tests.AccountApiTest","testGetUserUnsupportedMethod"
"Verify that the user cannot log in with a deleted account","6910","testLoginWithDeletedAccount","Automation Exercise","2026-07-14","passed","2026-07-14","io.github.matveyvolodin.tests.SignupLoginPageTest","UI Tests","io.github.matveyvolodin.tests.SignupLoginPageTest","testLoginWithDeletedAccount"
"Verify DELETE /deleteAccount endpoint responses for different input scenarios","90","testDeleteAccount","Automation Exercise","2026-07-14","passed","2026-07-14","io.github.matveyvolodin.api.tests.AccountApiTest","API Tests","io.github.matveyvolodin.api.tests.AccountApiTest","testDeleteAccount"
"Verify POST /verifyLogin endpoint responses for different input scenarios","91","testVerifyLoginWithWrongCredentials","Automation Exercise","2026-07-14","passed","2026-07-14","io.github.matveyvolodin.api.tests.AccountApiTest","API Tests","io.github.matveyvolodin.api.tests.AccountApiTest","testVerifyLogin"
"Verify GET /getUserDetailByEmail endpoint responses for different input scenarios","79","testGetUserWithWrongEmail","Automation Exercise","2026-07-14","passed","2026-07-14","io.github.matveyvolodin.api.tests.AccountApiTest","API Tests","io.github.matveyvolodin.api.tests.AccountApiTest","testGetUser"
"Verify POST /createAccount endpoint responses for different input scenarios","104","testCreateAccount","Automation Exercise","2026-07-14","passed","2026-07-14","io.github.matveyvolodin.api.tests.AccountApiTest","API Tests","io.github.matveyvolodin.api.tests.AccountApiTest","testCreateAccount"
"Verify DELETE /deleteAccount endpoint responses for different input scenarios","146","testDeleteAccountWithoutEmail","Automation Exercise","2026-07-14","passed","2026-07-14","io.github.matveyvolodin.api.tests.AccountApiTest","API Tests","io.github.matveyvolodin.api.tests.AccountApiTest","testDeleteAccount"
