"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Verify that user account was created successfully and user was redirected to the main page","3527","testCreateUserAccount","Surefire suite","Tue May 19 05:54:18 UTC 2026","passed","Tue May 19 05:54:21 UTC 2026","io.github.matveyvolodin.tests.SignupPageTest","Surefire test","io.github.matveyvolodin.tests.SignupPageTest","testCreateUserAccount"
"Verify that account was deleted successfully","2463","testDeleteUserAccount","Surefire suite","Tue May 19 05:54:22 UTC 2026","passed","Tue May 19 05:54:25 UTC 2026","io.github.matveyvolodin.tests.SignupPageTest","Surefire test","io.github.matveyvolodin.tests.SignupPageTest","testDeleteUserAccount"
"Verify that an existing user can be deleted successfully via the API","324","testDeleteAccount","Surefire suite","Tue May 19 05:54:00 UTC 2026","passed","Tue May 19 05:54:01 UTC 2026","io.github.matveyvolodin.api.tests.AccountApiTest","Surefire test","io.github.matveyvolodin.api.tests.AccountApiTest","testDeleteAccount"
"Verify that placeholders are presented on the Signup/Login and Signup pages","1077","testPlaceholders","Surefire suite","Tue May 19 05:54:16 UTC 2026","passed","Tue May 19 05:54:17 UTC 2026","io.github.matveyvolodin.tests.SignupLoginPageTest","Surefire test","io.github.matveyvolodin.tests.SignupLoginPageTest","testPlaceholders"
"Verify that a new user can be created successfully via the API","2986","testCreateAccount","Surefire suite","Tue May 19 05:53:57 UTC 2026","passed","Tue May 19 05:54:00 UTC 2026","io.github.matveyvolodin.api.tests.AccountApiTest","Surefire test","io.github.matveyvolodin.api.tests.AccountApiTest","testCreateAccount"
